Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745857784452566600," [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:44.452566600,0.0,False,False
False,False,1745857785097734700," [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.097734700,0.6451681,False,False
False,False,1745857785108662100," [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.108662100,0.6560955,False,False
False,False,1745857785119588000," [-513.8343505859375, 160.659423828125, 0.30614393949508667, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.119588000,0.6670214,False,False
False,False,1745857785130514900," [-513.8343505859375, 160.659423828125, 0.3060929775238037, 90.00020599365234, -0.1313786804676056, -0.162811279296875]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.130514900,0.6779483,False,False
False,False,1745857785141938200," [-513.8343505859375, 160.659423828125, 0.3060929775238037, 90.00020599365234, -0.1313786804676056, -0.162811279296875]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.141938200,0.6893716,False,False
False,False,1745857785152368100," [-513.8343505859375, 160.659423828125, 0.30603891611099243, 90.00020599365234, -0.13150162994861603, -0.1626586765050888]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.152368100,0.6998015,False,False
False,False,1745857785162798100," [-513.8343505859375, 160.659423828125, 0.3059851825237274, 90.00020599365234, -0.1316450536251068, -0.1624755710363388]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.162798100,0.7102315,False,False
False,False,1745857785173228500," [-513.8343505859375, 160.65943908691406, 0.30592983961105347, 90.00020599365234, -0.13183631002902985, -0.1622924655675888]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.173228500,0.7206619,False,False
False,False,1745857785183658100," [-513.8343505859375, 160.65943908691406, 0.30592983961105347, 90.00020599365234, -0.13183631002902985, -0.1622924655675888]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.183658100,0.7310915,False,False
False,False,1745857785194088100," [-513.8343505859375, 160.65943908691406, 0.3058777451515198, 90.00020599365234, -0.1320207118988037, -0.1620788425207138]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.194088100,0.7415215,False,False
False,False,1745857785204518300," [-513.8343505859375, 160.65943908691406, 0.3058317303657532, 90.00020599365234, -0.1322324573993683, -0.1618957370519638]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.204518300,0.7519517,False,False
False,False,1745857785214747400," [-513.8343505859375, 160.65943908691406, 0.3058317303657532, 90.00020599365234, -0.1322324573993683, -0.1618957370519638]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.214747400,0.7621808,False,False
False,False,1745857785225378100," [-513.8343505859375, 160.65943908691406, 0.3057831823825836, 90.00020599365234, -0.13241003453731537, -0.1617126315832138]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.225378100,0.7728115,False,False
False,False,1745857785236304700," [-513.8343505859375, 160.65943908691406, 0.3057396113872528, 90.00020599365234, -0.13262860476970673, -0.1615295559167862]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.236304700,0.7837381,False,False
False,False,1745857785247728200," [-513.8343505859375, 160.65943908691406, 0.3056962192058563, 90.00020599365234, -0.13284717500209808, -0.1613769382238388]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.247728200,0.7951616,False,False
False,False,1745857785258157900," [-513.8343505859375, 160.65943908691406, 0.3056962192058563, 90.00020599365234, -0.13284717500209808, -0.1613769382238388]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.258157900,0.8055913,False,False
False,False,1745857785269084600," [-513.8343505859375, 160.65943908691406, 0.3056499660015106, 90.00020599365234, -0.13305890560150146, -0.16119384765625]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.269084600,0.816518,False,False
False,False,1745857785279514800," [-513.8343505859375, 160.65943908691406, 0.305612176656723, 90.00020599365234, -0.13326381146907806, -0.161041259765625]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.279514800,0.8269482,False,False
False,False,1745857785290938100," [-513.8343505859375, 160.65943908691406, 0.30557823181152344, 90.00020599365234, -0.1334550529718399, -0.1609192043542862]"," [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]",,,2025-04-28 16:29:45.290938100,0.8383715,False,False
