Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745939206805583400," [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.805583400,0.0,False,False
False,False,1745939206817006700," [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.817006700,0.0114233,False,False
False,False,1745939206827436200," [-513.8345947265625, 160.6593780517578, 0.3060557246208191, 90.00019073486328, -0.12982140481472015, -0.162841796875]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.827436200,0.0218528,False,False
False,False,1745939206838363600," [-513.8345947265625, 160.6593780517578, 0.3060557246208191, 90.00019073486328, -0.12982140481472015, -0.162841796875]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.838363600,0.0327802,False,False
False,False,1745939206848793100," [-513.8345947265625, 160.6593780517578, 0.30600792169570923, 90.00019073486328, -0.1299716681241989, -0.1626891940832138]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.848793100,0.0432097,False,False
False,False,1745939206859223500," [-513.8345947265625, 160.6593780517578, 0.30595260858535767, 90.00019073486328, -0.13016290962696075, -0.16253662109375]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.859223500,0.0536401,False,False
False,False,1745939206870149900," [-513.8345947265625, 160.6593780517578, 0.305904358625412, 90.00019073486328, -0.13036781549453735, -0.1623535007238388]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.870149900,0.0645665,False,False
False,False,1745939206881076500," [-513.8345947265625, 160.6593780517578, 0.305904358625412, 90.00019073486328, -0.13036781549453735, -0.1623535007238388]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.881076500,0.0754931,False,False
False,False,1745939206891506600," [-513.8345947265625, 160.6593780517578, 0.30585548281669617, 90.00019073486328, -0.13057954609394073, -0.1621703952550888]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.891506600,0.0859232,False,False
False,False,1745939206902432900," [-513.8345947265625, 160.6593780517578, 0.30580201745033264, 90.00019073486328, -0.1308595836162567, -0.1619872748851776]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.902432900,0.0968495,False,False
False,False,1745939206912863200," [-513.8345947265625, 160.6593780517578, 0.30580201745033264, 90.00019073486328, -0.1308595836162567, -0.1619872748851776]"," [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]",,,2025-04-29 15:06:46.912863200,0.1072798,False,False
