Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1744885843157692300," [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.157692300,0.0,False,False
False,False,1744885843168192500," [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.168192500,0.0105002,False,False
False,False,1744885843168192500," [-513.8345336914062, 160.65939331054688, 0.3056104779243469, 90.00020599365234, -0.13156309723854065, -0.160858154296875]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.168192500,0.0105002,False,False
False,False,1744885843178692900," [-513.8345336914062, 160.65940856933594, 0.30557480454444885, 90.00020599365234, -0.13156309723854065, -0.160858154296875]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.178692900,0.0210006,False,False
False,False,1744885843188692500," [-513.8345336914062, 160.65940856933594, 0.30557480454444885, 90.00020599365234, -0.13156309723854065, -0.160858154296875]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.188692500,0.0310002,False,False
False,False,1744885843198693100," [-513.8345336914062, 160.65940856933594, 0.3055459260940552, 90.00020599365234, -0.13174067437648773, -0.1607666015625]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.198693100,0.0410008,False,False
False,False,1744885843219692500," [-513.8345336914062, 160.65940856933594, 0.3055156469345093, 90.00021362304688, -0.13189777731895447, -0.1607055515050888]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.219692500,0.0620002,False,False
False,False,1744885843219692500," [-513.8345336914062, 160.65940856933594, 0.3055156469345093, 90.00021362304688, -0.13189777731895447, -0.1607055515050888]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.219692500,0.0620002,False,False
False,False,1744885843230692300," [-513.8345336914062, 160.65940856933594, 0.3055156469345093, 90.00021362304688, -0.13189777731895447, -0.1607055515050888]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.230692300,0.073,False,False
False,False,1744885843241692500," [-513.8345336914062, 160.65940856933594, 0.3054888844490051, 90.00021362304688, -0.13204804062843323, -0.16064453125]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.241692500,0.0840002,False,False
False,False,1744885843252192100," [-513.8345336914062, 160.65940856933594, 0.3054658770561218, 90.00021362304688, -0.1322324573993683, -0.160552978515625]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.252192100,0.0944998,False,False
False,False,1744885843262692200," [-513.8345336914062, 160.65940856933594, 0.3054400384426117, 90.00021362304688, -0.13244418799877167, -0.160491943359375]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.262692200,0.1049999,False,False
False,False,1744885843273192200," [-513.8345336914062, 160.65940856933594, 0.3054400384426117, 90.00021362304688, -0.13244418799877167, -0.160491943359375]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.273192200,0.1154999,False,False
False,False,1744885843283692200," [-513.8345336914062, 160.65940856933594, 0.30542176961898804, 90.00021362304688, -0.13262860476970673, -0.1604309231042862]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.283692200,0.1259999,False,False
False,False,1744885843294192000," [-513.8345336914062, 160.65940856933594, 0.30540409684181213, 90.00021362304688, -0.13284717500209808, -0.1603698879480362]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.294192000,0.1364997,False,False
False,False,1744885843304192100," [-513.8345336914062, 160.65940856933594, 0.30540409684181213, 90.00021362304688, -0.13284717500209808, -0.1603698879480362]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.304192100,0.1464998,False,False
False,False,1744885843314192400," [-513.8345336914062, 160.65940856933594, 0.30538883805274963, 90.00021362304688, -0.13305890560150146, -0.1603088527917862]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.314192400,0.1565001,False,False
False,False,1744885843325192000," [-513.8345336914062, 160.65940856933594, 0.30537447333335876, 90.00021362304688, -0.13323649764060974, -0.1602783054113388]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.325192000,0.1674997,False,False
False,False,1744885843335692100," [-513.8345336914062, 160.65940856933594, 0.30537447333335876, 90.00021362304688, -0.13323649764060974, -0.1602783054113388]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.335692100,0.1779998,False,False
False,False,1744885843346192200," [-513.8345336914062, 160.65940856933594, 0.3053535521030426, 90.00021362304688, -0.1334550529718399, -0.16021728515625]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.346192200,0.1884999,False,False
False,False,1744885843356692200," [-513.8345336914062, 160.65940856933594, 0.30534878373146057, 90.00021362304688, -0.13363946974277496, -0.16015625]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.356692200,0.1989999,False,False
False,False,1744885843366692200," [-513.8345336914062, 160.65940856933594, 0.30534878373146057, 90.00021362304688, -0.13363946974277496, -0.16015625]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.366692200,0.2089999,False,False
False,False,1744885843376692200," [-513.8345336914062, 160.65940856933594, 0.3053448498249054, 90.00021362304688, -0.13378290832042694, -0.1601257473230362]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.376692200,0.2189999,False,False
False,False,1744885843387192400," [-513.8345336914062, 160.65940856933594, 0.30533963441848755, 90.00021362304688, -0.133967325091362, -0.1600952297449112]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.387192400,0.2295001,False,False
False,False,1744885843397692100," [-513.8345336914062, 160.65940856933594, 0.3053358197212219, 90.00021362304688, -0.13412441313266754, -0.160064697265625]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.397692100,0.2399998,False,False
False,False,1744885843408191900," [-513.8345336914062, 160.65940856933594, 0.3053358197212219, 90.00021362304688, -0.13412441313266754, -0.160064697265625]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.408191900,0.2504996,False,False
False,False,1744885843419192200," [-513.8345336914062, 160.65940856933594, 0.3053288161754608, 90.00021362304688, -0.13428151607513428, -0.1600341945886612]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.419192200,0.2614999,False,False
False,False,1744885843429691700," [-513.8345336914062, 160.65940856933594, 0.30532434582710266, 90.00021362304688, -0.13443177938461304, -0.1600036770105362]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.429691700,0.2719994,False,False
False,False,1744885843440192000," [-513.8345336914062, 160.65940856933594, 0.30532434582710266, 90.00021362304688, -0.13443177938461304, -0.1600036770105362]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.440192000,0.2824997,False,False
False,False,1744885843450692000," [-513.8345336914062, 160.65940856933594, 0.3053267002105713, 90.00021362304688, -0.1345478892326355, -0.1599731743335724]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.450692000,0.2929997,False,False
False,False,1744885843461692200," [-513.8345336914062, 160.65940856933594, 0.30532562732696533, 90.00021362304688, -0.13467083871364594, -0.1599426418542862]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.461692200,0.3039999,False,False
False,False,1744885843472691800," [-513.8345336914062, 160.65940856933594, 0.30532562732696533, 90.00021362304688, -0.13467083871364594, -0.1599426418542862]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.472691800,0.3149995,False,False
False,False,1744885843483191900," [-513.8345336914062, 160.65940856933594, 0.30532562732696533, 90.00021362304688, -0.13467083871364594, -0.1599426418542862]"," [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]",,,2025-04-17 10:30:43.483191900,0.3254996,False,False
