Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1746196337179121100," [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.179121100,0.0,False,False
False,False,1746196337189551500," [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.189551500,0.0104304,False,False
False,False,1746196337199984400," [-513.8351440429688, 160.6595458984375, 0.3060874342918396, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.199984400,0.0208633,False,False
False,False,1746196337210911200," [-513.8351440429688, 160.6595458984375, 0.30603110790252686, 90.00019073486328, -0.12817531824111938, -0.158721923828125]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.210911200,0.0317901,False,False
False,False,1746196337221834700," [-513.8351440429688, 160.6595458984375, 0.30603110790252686, 90.00019073486328, -0.12817531824111938, -0.158721923828125]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.221834700,0.0427136,False,False
False,False,1746196337232264300," [-513.8351440429688, 160.6595458984375, 0.3059813678264618, 90.00018310546875, -0.12838706374168396, -0.1587829291820526]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.232264300,0.0531432,False,False
False,False,1746196337242697500," [-513.8351440429688, 160.6595458984375, 0.30593493580818176, 90.00018310546875, -0.12863977253437042, -0.1588439643383026]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.242697500,0.0635764,False,False
False,False,1746196337253128100," [-513.8351440429688, 160.6595458984375, 0.30593493580818176, 90.00018310546875, -0.12863977253437042, -0.1588439643383026]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.253128100,0.074007,False,False
False,False,1746196337264054100," [-513.8351440429688, 160.6595458984375, 0.30588358640670776, 90.00016021728516, -0.12896762788295746, -0.1589050143957138]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.264054100,0.084933,False,False
False,False,1746196337274980800," [-513.8351440429688, 160.6595458984375, 0.3058401346206665, 90.00019073486328, -0.12930230796337128, -0.1589660346508026]"," [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]",,,2025-05-02 14:32:17.274980800,0.0958597,False,False
