Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745593026027197900," [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.027197900,0.0,False,False
False,False,1745593026037627800," [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.037627800,0.0104299,False,False
False,False,1745593026048554300," [-513.83447265625, 160.6593780517578, 0.3060438334941864, 90.00019073486328, -0.12972576916217804, -0.162750244140625]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.048554300,0.0213564,False,False
False,False,1745593026058984200," [-513.83447265625, 160.6593780517578, 0.3060438334941864, 90.00019073486328, -0.12972576916217804, -0.162750244140625]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.058984200,0.0317863,False,False
False,False,1745593026069910700," [-513.83447265625, 160.6593780517578, 0.30599650740623474, 90.00019073486328, -0.12982140481472015, -0.16265869140625]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.069910700,0.0427128,False,False
False,False,1745593026080837300," [-513.83447265625, 160.6593780517578, 0.30594614148139954, 90.00019073486328, -0.13000580668449402, -0.162506103515625]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.080837300,0.0536394,False,False
False,False,1745593026091267400," [-513.83447265625, 160.6593780517578, 0.3058989644050598, 90.00019073486328, -0.13022437691688538, -0.1623535007238388]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.091267400,0.0640695,False,False
False,False,1745593026091267400," [-513.83447265625, 160.6593780517578, 0.3058989644050598, 90.00019073486328, -0.13022437691688538, -0.1623535007238388]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.091267400,0.0640695,False,False
False,False,1745593026112624200," [-513.83447265625, 160.6593780517578, 0.305848628282547, 90.00019073486328, -0.13046343624591827, -0.1621703952550888]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.112624200,0.0854263,False,False
False,False,1745593026123053800," [-513.83447265625, 160.6593780517578, 0.3057996332645416, 90.00019073486328, -0.13070249557495117, -0.1619872748851776]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.123053800,0.0958559,False,False
False,False,1745593026123053800," [-513.83447265625, 160.6593780517578, 0.3057996332645416, 90.00019073486328, -0.13070249557495117, -0.1619872748851776]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.123053800,0.0958559,False,False
False,False,1745593026133980700," [-513.83447265625, 160.6593780517578, 0.30575627088546753, 90.00019073486328, -0.13098253309726715, -0.1618041694164276]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.133980700,0.1067828,False,False
False,False,1745593026144907300," [-513.83447265625, 160.6593780517578, 0.30571117997169495, 90.00019073486328, -0.13128988444805145, -0.16162109375]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.144907300,0.1177094,False,False
False,False,1745593026155834300," [-513.83447265625, 160.6593780517578, 0.30567002296447754, 90.00019073486328, -0.13159041106700897, -0.16143798828125]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.155834300,0.1286364,False,False
False,False,1745593026166264000," [-513.83447265625, 160.6593780517578, 0.30567002296447754, 90.00019073486328, -0.13159041106700897, -0.16143798828125]"," [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]",,,2025-04-25 14:57:06.166264000,0.1390661,False,False
