Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745317310658528700," [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.658528700,0.0,False,False
False,False,1745317310669953400," [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.669953400,0.0114247,False,False
False,False,1745317310680878700," [-513.8346557617188, 160.65940856933594, 0.30617639422416687, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.680878700,0.02235,False,False
False,False,1745317310691805100," [-513.8346557617188, 160.65940856933594, 0.30613163113594055, 90.00020599365234, -0.1311327964067459, -0.1632080078125]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.691805100,0.0332764,False,False
False,False,1745317310702235500," [-513.8346557617188, 160.65940856933594, 0.30613163113594055, 90.00020599365234, -0.1311327964067459, -0.1632080078125]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.702235500,0.0437068,False,False
False,False,1745317310712664800," [-513.8346557617188, 160.65940856933594, 0.30607733130455017, 90.00020599365234, -0.13128988444805145, -0.1630248874425888]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.712664800,0.0541361,False,False
False,False,1745317310723591500," [-513.8346557617188, 160.65940856933594, 0.3060232996940613, 90.00020599365234, -0.1314401477575302, -0.1628112643957138]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.723591500,0.0650628,False,False
False,False,1745317310734021700," [-513.8346557617188, 160.65940856933594, 0.30596616864204407, 90.00020599365234, -0.13162456452846527, -0.1625976413488388]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.734021700,0.075493,False,False
False,False,1745317310744948600," [-513.8346557617188, 160.65940856933594, 0.30596616864204407, 90.00020599365234, -0.13162456452846527, -0.1625976413488388]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.744948600,0.0864199,False,False
False,False,1745317310755377700," [-513.8346557617188, 160.659423828125, 0.3059176802635193, 90.00020599365234, -0.13180215656757355, -0.1623840183019638]"," [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]",,,2025-04-22 10:21:50.755377700,0.096849,False,False
