Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745497474589629300," [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:34.589629300,0.0,False,False
False,False,1745497475233804800," [-513.8344116210938, 160.6593780517578, 0.30587226152420044, 90.00012969970703, -0.13016290962696075, -0.1619567722082138]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:35.233804800,0.6441755,False,False
False,False,1745497475244731400," [-513.8344116210938, 160.6593780517578, 0.30587226152420044, 90.00012969970703, -0.13016290962696075, -0.1619567722082138]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:35.244731400,0.6551021,False,False
False,False,1745497475255161600," [-513.8344116210938, 160.6593780517578, 0.3058242201805115, 90.00012969970703, -0.13027901947498322, -0.1618652194738388]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:35.255161600,0.6655323,False,False
False,False,1745497475265591600," [-513.8344116210938, 160.6593780517578, 0.3058242201805115, 90.00012969970703, -0.13027901947498322, -0.1618652194738388]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:35.265591600,0.6759623,False,False
False,False,1745497475276518800," [-513.8344116210938, 160.6593780517578, 0.305781751871109, 90.00012969970703, -0.13042928278446198, -0.1617736667394638]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:35.276518800,0.6868895,False,False
False,False,1745497475287445000," [-513.8344116210938, 160.6593780517578, 0.305781751871109, 90.00012969970703, -0.13042928278446198, -0.1617736667394638]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:35.287445000,0.6978157,False,False
False,False,1745497475298371600," [-513.8344116210938, 160.6593780517578, 0.30574047565460205, 90.00012969970703, -0.13061369955539703, -0.16165155172348022]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:35.298371600,0.7087423,False,False
False,False,1745497475309156600," [-513.8344116210938, 160.6593780517578, 0.3057015538215637, 90.00012969970703, -0.1308595836162567, -0.1614989936351776]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:35.309156600,0.7195273,False,False
False,False,1745497475320224700," [-513.8344116210938, 160.6593780517578, 0.30566367506980896, 90.00012969970703, -0.1310986429452896, -0.16137690842151642]"," [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]",,,2025-04-24 12:24:35.320224700,0.7305954,False,False
