Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745576278265642300," [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.265642300,0.0,False,False
False,False,1745576278910314600," [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.910314600,0.6446723,False,False
False,False,1745576278921738000," [-513.83447265625, 160.6593780517578, 0.3060850501060486, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.921738000,0.6560957,False,False
False,False,1745576278932664900," [-513.83447265625, 160.6593780517578, 0.3060363531112671, 90.00035095214844, -0.13027901947498322, -0.1627502143383026]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.932664900,0.6670226,False,False
False,False,1745576278943095000," [-513.83447265625, 160.6593780517578, 0.3060363531112671, 90.00035095214844, -0.13027901947498322, -0.1627502143383026]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.943095000,0.6774527,False,False
False,False,1745576278953524600," [-513.83447265625, 160.6593780517578, 0.3059850037097931, 90.00035095214844, -0.13042928278446198, -0.1625976413488388]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.953524600,0.6878823,False,False
False,False,1745576278963954600," [-513.83447265625, 160.6593780517578, 0.305935800075531, 90.00035095214844, -0.13061369955539703, -0.1624145209789276]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.963954600,0.6983123,False,False
False,False,1745576278974881300," [-513.83447265625, 160.6593780517578, 0.305935800075531, 90.00035095214844, -0.13061369955539703, -0.1624145209789276]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.974881300,0.709239,False,False
False,False,1745576278985808200," [-513.83447265625, 160.6593780517578, 0.3058873414993286, 90.00035095214844, -0.1308595836162567, -0.16223140060901642]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.985808200,0.7201659,False,False
False,False,1745576278996237900," [-513.83447265625, 160.6593780517578, 0.3058375418186188, 90.00035095214844, -0.1310986429452896, -0.1620483100414276]"," [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]",,,2025-04-25 10:17:58.996237900,0.7305956,False,False
