Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1746111005110116100," [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.110116100,0.0,False,False
False,False,1746111005121116400," [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.121116400,0.0110003,False,False
False,False,1746111005121116400," [-513.8350830078125, 160.6595001220703, 0.30583837628364563, 90.00011444091797, -0.12879003584384918, -0.15917962789535522]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.121116400,0.0110003,False,False
False,False,1746111005131616600," [-513.8350830078125, 160.6595001220703, 0.3057985305786133, 90.00012969970703, -0.12890614569187164, -0.15917964279651642]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.131616600,0.0215005,False,False
False,False,1746111005142616000," [-513.8350830078125, 160.6595001220703, 0.3057985305786133, 90.00012969970703, -0.12890614569187164, -0.15917964279651642]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.142616000,0.0324999,False,False
False,False,1746111005153115800," [-513.8350830078125, 160.6595001220703, 0.3057626187801361, 90.00012969970703, -0.1290905624628067, -0.15921016037464142]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.153115800,0.0429997,False,False
False,False,1746111005163616500," [-513.8350830078125, 160.6595001220703, 0.30572614073753357, 90.00012969970703, -0.12930230796337128, -0.1592407077550888]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.163616500,0.0535004,False,False
False,False,1746111005174116200," [-513.8350830078125, 160.6595001220703, 0.30572614073753357, 90.00012969970703, -0.12930230796337128, -0.1592407077550888]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.174116200,0.0640001,False,False
False,False,1746111005185115900," [-513.8350830078125, 160.6595001220703, 0.3056919574737549, 90.00012969970703, -0.12957550585269928, -0.1593017280101776]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.185115900,0.0749998,False,False
False,False,1746111005195615700," [-513.8350830078125, 160.6595001220703, 0.3056919574737549, 90.00012969970703, -0.12957550585269928, -0.1593017280101776]"," [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]",,,2025-05-01 14:50:05.195615700,0.0854996,False,False
