Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745571183067049700," [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.067049700,0.0,False,False
False,False,1745571183067049700," [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.067049700,0.0,False,False
False,False,1745571183077976700," [-513.8345336914062, 160.659423828125, 0.30597954988479614, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.077976700,0.010927,False,False
False,False,1745571183098836100," [-513.8345336914062, 160.659423828125, 0.3059322237968445, 90.00021362304688, -0.13094837963581085, -0.16204829514026642]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.098836100,0.0317864,False,False
False,False,1745571183098836100," [-513.8345336914062, 160.659423828125, 0.30588287115097046, 90.00021362304688, -0.1310986429452896, -0.1619262397289276]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.098836100,0.0317864,False,False
False,False,1745571183109266500," [-513.8345336914062, 160.659423828125, 0.30588287115097046, 90.00021362304688, -0.1310986429452896, -0.1619262397289276]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.109266500,0.0422168,False,False
False,False,1745571183119696800," [-513.8345336914062, 160.659423828125, 0.3058392405509949, 90.00021362304688, -0.13125573098659515, -0.1618041694164276]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.119696800,0.0526471,False,False
False,False,1745571183130127100," [-513.8345336914062, 160.659423828125, 0.3057927191257477, 90.00021362304688, -0.1314401477575302, -0.16165156662464142]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.130127100,0.0630774,False,False
False,False,1745571183141052700," [-513.8345336914062, 160.659423828125, 0.3057927191257477, 90.00021362304688, -0.1314401477575302, -0.16165156662464142]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.141052700,0.074003,False,False
False,False,1745571183161913200," [-513.8345336914062, 160.659423828125, 0.3057500123977661, 90.00021362304688, -0.1316792070865631, -0.1615295261144638]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.161913200,0.0948635,False,False
False,False,1745571183161913200," [-513.8345336914062, 160.659423828125, 0.3057110607624054, 90.00021362304688, -0.13189777731895447, -0.1613769233226776]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.161913200,0.0948635,False,False
False,False,1745571183172346100," [-513.8345336914062, 160.659423828125, 0.3057110607624054, 90.00021362304688, -0.13189777731895447, -0.1613769233226776]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.172346100,0.1052964,False,False
False,False,1745571183182773300," [-513.8345336914062, 160.659423828125, 0.3056686520576477, 90.00021362304688, -0.13210950791835785, -0.1612243354320526]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.182773300,0.1157236,False,False
False,False,1745571183193203200," [-513.8345336914062, 160.659423828125, 0.3056285083293915, 90.00021362304688, -0.13234856724739075, -0.1611022800207138]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.193203200,0.1261535,False,False
False,False,1745571183204129800," [-513.8345336914062, 160.659423828125, 0.3056285083293915, 90.00021362304688, -0.13234856724739075, -0.1611022800207138]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.204129800,0.1370801,False,False
False,False,1745571183215056200," [-513.8345336914062, 160.659423828125, 0.3055949807167053, 90.00021362304688, -0.1326012909412384, -0.16098017990589142]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.215056200,0.1480065,False,False
False,False,1745571183225983200," [-513.8345336914062, 160.659423828125, 0.30556559562683105, 90.00021362304688, -0.13281302154064178, -0.1608581393957138]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.225983200,0.1589335,False,False
False,False,1745571183236413600," [-513.8345336914062, 160.659423828125, 0.30556559562683105, 90.00021362304688, -0.13281302154064178, -0.1608581393957138]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.236413600,0.1693639,False,False
False,False,1745571183247339400," [-513.8345336914062, 160.659423828125, 0.3055356740951538, 90.00021362304688, -0.13305890560150146, -0.1607360690832138]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.247339400,0.1802897,False,False
False,False,1745571183257769200," [-513.8345336914062, 160.659423828125, 0.305511474609375, 90.00023651123047, -0.13326381146907806, -0.16064453125]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.257769200,0.1907195,False,False
False,False,1745571183268696300," [-513.8345336914062, 160.659423828125, 0.305511474609375, 90.00023651123047, -0.13326381146907806, -0.16064453125]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.268696300,0.2016466,False,False
False,False,1745571183279623600," [-513.8345336914062, 160.659423828125, 0.3054870665073395, 90.00023651123047, -0.13348238170146942, -0.160552978515625]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.279623600,0.2125739,False,False
False,False,1745571183290052500," [-513.8345336914062, 160.659423828125, 0.305460661649704, 90.00023651123047, -0.13366679847240448, -0.16046142578125]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.290052500,0.2230028,False,False
False,False,1745571183300980500," [-513.8345336914062, 160.659423828125, 0.3054437041282654, 90.00023651123047, -0.13387852907180786, -0.1604004055261612]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.300980500,0.2339308,False,False
False,False,1745571183311906400," [-513.8345336914062, 160.659423828125, 0.3054437041282654, 90.00023651123047, -0.13387852907180786, -0.1604004055261612]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.311906400,0.2448567,False,False
False,False,1745571183322832800," [-513.8345336914062, 160.659423828125, 0.3054254353046417, 90.00023651123047, -0.13406294584274292, -0.1603393703699112]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.322832800,0.2557831,False,False
False,False,1745571183333262500," [-513.8345336914062, 160.659423828125, 0.3054054081439972, 90.00023651123047, -0.13422003388404846, -0.1602477878332138]"," [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]",,,2025-04-25 08:53:03.333262500,0.2662128,False,False
