Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745505740627992100," [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.627992100,0.0,False,False
False,False,1745505740638562100," [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.638562100,0.01057,False,False
False,False,1745505740649488900," [-513.8350830078125, 160.65940856933594, 0.30585649609565735, 90.00019836425781, -0.12902909517288208, -0.15905757248401642]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.649488900,0.0214968,False,False
False,False,1745505740660415100," [-513.8350830078125, 160.65940856933594, 0.3058180809020996, 90.00019836425781, -0.12914520502090454, -0.1590881198644638]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.660415100,0.032423,False,False
False,False,1745505740660415100," [-513.8350830078125, 160.65940856933594, 0.3058180809020996, 90.00019836425781, -0.12914520502090454, -0.1590881198644638]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.660415100,0.032423,False,False
False,False,1745505740671342000," [-513.8350830078125, 160.65940856933594, 0.30577245354652405, 90.00019836425781, -0.12933646142482758, -0.1591491401195526]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.671342000,0.0433499,False,False
False,False,1745505740682268500," [-513.8350830078125, 160.65940856933594, 0.3057272732257843, 90.00019836425781, -0.12957550585269928, -0.1591796576976776]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.682268500,0.0542764,False,False
False,False,1745505740693194900," [-513.8350830078125, 160.65940856933594, 0.30567556619644165, 90.00019836425781, -0.12988287210464478, -0.1592407077550888]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.693194900,0.0652028,False,False
False,False,1745505740704121600," [-513.8350830078125, 160.65940856933594, 0.30567556619644165, 90.00019836425781, -0.12988287210464478, -0.1592407077550888]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.704121600,0.0761295,False,False
False,False,1745505740715048500," [-513.8350830078125, 160.65940856933594, 0.30567556619644165, 90.00019836425781, -0.12988287210464478, -0.1592407077550888]"," [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]",,,2025-04-24 14:42:20.715048500,0.0870564,False,False
