Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745489545540597500," [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.540597500,0.0,False,False
False,False,1745489545552020700," [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.552020700,0.0114232,False,False
False,False,1745489545562452800," [-513.8343505859375, 160.65939331054688, 0.30594831705093384, 90.00019073486328, -0.13012875616550446, -0.162200927734375]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.562452800,0.0218553,False,False
False,False,1745489545573377600," [-513.8343505859375, 160.65939331054688, 0.3058944642543793, 90.00019073486328, -0.13022437691688538, -0.162109375]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.573377600,0.0327801,False,False
False,False,1745489545584304300," [-513.8343505859375, 160.65939331054688, 0.3058944642543793, 90.00019073486328, -0.13022437691688538, -0.162109375]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.584304300,0.0437068,False,False
False,False,1745489545594533400," [-513.8343505859375, 160.65939331054688, 0.3058457374572754, 90.00019073486328, -0.13040196895599365, -0.16198725998401642]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.594533400,0.0539359,False,False
False,False,1745489545605660900," [-513.8343505859375, 160.65939331054688, 0.30578872561454773, 90.00019073486328, -0.13061369955539703, -0.1618347018957138]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.605660900,0.0650634,False,False
False,False,1745489545616090700," [-513.8343505859375, 160.65939331054688, 0.30578872561454773, 90.00019073486328, -0.13061369955539703, -0.1618347018957138]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.616090700,0.0754932,False,False
False,False,1745489545627017700," [-513.8343505859375, 160.65939331054688, 0.3057490587234497, 90.00019073486328, -0.1308595836162567, -0.1616820991039276]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.627017700,0.0864202,False,False
False,False,1745489545637943800," [-513.8343505859375, 160.65939331054688, 0.30570968985557556, 90.00019073486328, -0.1310986429452896, -0.161529541015625]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.637943800,0.0973463,False,False
False,False,1745489545648870800," [-513.8343505859375, 160.65939331054688, 0.30570968985557556, 90.00019073486328, -0.1310986429452896, -0.161529541015625]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.648870800,0.1082733,False,False
False,False,1745489545660294000," [-513.8343505859375, 160.65939331054688, 0.3056664764881134, 90.00019073486328, -0.1313786804676056, -0.161376953125]"," [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]",,,2025-04-24 10:12:25.660294000,0.1196965,False,False
