Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1746089443149972200," [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.149972200,0.0,False,False
False,False,1746089443160971900," [-513.8351440429688, 160.65953063964844, 0.3057492673397064, 90.00016021728516, -0.12872856855392456, -0.1593017280101776]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.160971900,0.0109997,False,False
False,False,1746089443170972200," [-513.8351440429688, 160.65953063964844, 0.3057492673397064, 90.00016021728516, -0.12872856855392456, -0.1593017280101776]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.170972200,0.021,False,False
False,False,1746089443180973100," [-513.8351440429688, 160.65953063964844, 0.3057110011577606, 90.00019073486328, -0.12884467840194702, -0.1593322604894638]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.180973100,0.0310009,False,False
False,False,1746089443191972600," [-513.8351440429688, 160.65953063964844, 0.3056730628013611, 90.00019073486328, -0.1290564239025116, -0.15936274826526642]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.191972600,0.0420004,False,False
False,False,1746089443202471800," [-513.8351440429688, 160.65953063964844, 0.30563291907310486, 90.00019073486328, -0.12930230796337128, -0.1593932956457138]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.202471800,0.0524996,False,False
False,False,1746089443212971900," [-513.8351440429688, 160.65953063964844, 0.30563291907310486, 90.00019073486328, -0.12930230796337128, -0.1593932956457138]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.212971900,0.0629997,False,False
False,False,1746089443223972200," [-513.8351440429688, 160.65953063964844, 0.30559974908828735, 90.00019073486328, -0.12957550585269928, -0.159423828125]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.223972200,0.074,False,False
False,False,1746089443234472200," [-513.8351440429688, 160.65953063964844, 0.30557167530059814, 90.00015258789062, -0.12988287210464478, -0.1594543159008026]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.234472200,0.0845,False,False
False,False,1746089443244972000," [-513.8351440429688, 160.65953063964844, 0.30557167530059814, 90.00015258789062, -0.12988287210464478, -0.1594543159008026]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.244972000,0.0949998,False,False
False,False,1746089443255472100," [-513.8351440429688, 160.65953063964844, 0.30554068088531494, 90.00018310546875, -0.13022437691688538, -0.1594848483800888]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.255472100,0.1054999,False,False
False,False,1746089443265971900," [-513.8351440429688, 160.65953063964844, 0.30551376938819885, 90.00018310546875, -0.1305522322654724, -0.159515380859375]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.265971900,0.1159997,False,False
False,False,1746089443276471700," [-513.8351440429688, 160.65953063964844, 0.3054885268211365, 90.00018310546875, -0.13092106580734253, -0.1595458835363388]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.276471700,0.1264995,False,False
False,False,1746089443286971800," [-513.8351440429688, 160.65953063964844, 0.3054885268211365, 90.00018310546875, -0.13092106580734253, -0.1595458835363388]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.286971800,0.1369996,False,False
False,False,1746089443296971900," [-513.8351440429688, 160.65953063964844, 0.30546313524246216, 90.00018310546875, -0.13128988444805145, -0.1595458835363388]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.296971900,0.1469997,False,False
False,False,1746089443306972100," [-513.8351440429688, 160.65953063964844, 0.3054453730583191, 90.00018310546875, -0.13162456452846527, -0.159576416015625]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.306972100,0.1569999,False,False
False,False,1746089443317472200," [-513.8351440429688, 160.65953063964844, 0.3054453730583191, 90.00018310546875, -0.13162456452846527, -0.159576416015625]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.317472200,0.1675,False,False
False,False,1746089443327971900," [-513.8351440429688, 160.65953063964844, 0.3054261803627014, 90.00018310546875, -0.1319592446088791, -0.1596069037914276]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.327971900,0.1779997,False,False
False,False,1746089443338971600," [-513.8351440429688, 160.65953063964844, 0.3054111897945404, 90.00018310546875, -0.1322939246892929, -0.1596374213695526]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.338971600,0.1889994,False,False
False,False,1746089443349971600," [-513.8351440429688, 160.65953063964844, 0.3053990602493286, 90.00019836425781, -0.1326012909412384, -0.1596374660730362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.349971600,0.1999994,False,False
False,False,1746089443359971900," [-513.8351440429688, 160.65953063964844, 0.3053990602493286, 90.00019836425781, -0.1326012909412384, -0.1596374660730362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.359971900,0.2099997,False,False
False,False,1746089443370472200," [-513.8351440429688, 160.65953063964844, 0.30539050698280334, 90.00019836425781, -0.1328744888305664, -0.15966796875]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.370472200,0.2205,False,False
False,False,1746089443381471900," [-513.8351440429688, 160.65953063964844, 0.3053753077983856, 90.00019836425781, -0.13317501544952393, -0.15966796875]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.381471900,0.2314997,False,False
False,False,1746089443381471900," [-513.8351440429688, 160.65953063964844, 0.3053753077983856, 90.00019836425781, -0.13317501544952393, -0.15966796875]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.381471900,0.2314997,False,False
False,False,1746089443391972900," [-513.8351440429688, 160.65953063964844, 0.3053695559501648, 90.00019836425781, -0.1334550529718399, -0.1596985012292862]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.391972900,0.2420007,False,False
False,False,1746089443403471900," [-513.8351440429688, 160.65953063964844, 0.30536454916000366, 90.00019836425781, -0.13366679847240448, -0.1596985012292862]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.403471900,0.2534997,False,False
False,False,1746089443413972000," [-513.8351440429688, 160.65953063964844, 0.3053596019744873, 90.00020599365234, -0.13390585780143738, -0.159698486328125]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.413972000,0.2639998,False,False
False,False,1746089443424971500," [-513.8351440429688, 160.65953063964844, 0.3053596019744873, 90.00020599365234, -0.13390585780143738, -0.159698486328125]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.424971500,0.2749993,False,False
False,False,1746089443435971700," [-513.8351440429688, 160.65953063964844, 0.3053540289402008, 90.00020599365234, -0.13409025967121124, -0.1597290188074112]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.435971700,0.2859995,False,False
False,False,1746089443445972000," [-513.8351440429688, 160.65953063964844, 0.3053540289402008, 90.00020599365234, -0.13409025967121124, -0.1597290188074112]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.445972000,0.2959998,False,False
False,False,1746089443456472000," [-513.8351440429688, 160.65953063964844, 0.3053506016731262, 90.00020599365234, -0.13431566953659058, -0.15972900390625]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.456472000,0.3064998,False,False
False,False,1746089443466971700," [-513.8351440429688, 160.65953063964844, 0.3053484857082367, 90.00020599365234, -0.13446593284606934, -0.1597290188074112]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.466971700,0.3169995,False,False
False,False,1746089443477971400," [-513.8351440429688, 160.65953063964844, 0.3053484857082367, 90.00020599365234, -0.13446593284606934, -0.1597290188074112]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.477971400,0.3279992,False,False
False,False,1746089443488471900," [-513.8351440429688, 160.65953063964844, 0.3053428828716278, 90.00020599365234, -0.13464350998401642, -0.15972904860973358]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.488471900,0.3384997,False,False
False,False,1746089443499471700," [-513.8351440429688, 160.65953063964844, 0.3053399920463562, 90.00020599365234, -0.13476645946502686, -0.15972904860973358]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.499471700,0.3494995,False,False
False,False,1746089443509971800," [-513.8351440429688, 160.65953063964844, 0.305338978767395, 90.00020599365234, -0.13488256931304932, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.509971800,0.3599996,False,False
False,False,1746089443520471700," [-513.8351440429688, 160.65953063964844, 0.305338978767395, 90.00020599365234, -0.13488256931304932, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.520471700,0.3704995,False,False
False,False,1746089443531471600," [-513.8351440429688, 160.65953063964844, 0.3053317666053772, 90.0002212524414, -0.13501234352588654, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.531471600,0.3814994,False,False
False,False,1746089443541971600," [-513.8351440429688, 160.65953063964844, 0.30533283948898315, 90.0002212524414, -0.13501234352588654, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.541971600,0.3919994,False,False
False,False,1746089443551972400," [-513.8351440429688, 160.65953063964844, 0.30533283948898315, 90.0002212524414, -0.13501234352588654, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.551972400,0.4020002,False,False
False,False,1746089443562471800," [-513.8351440429688, 160.65953063964844, 0.30533283948898315, 90.0002212524414, -0.13501234352588654, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.562471800,0.4124996,False,False
False,False,1746089443572971900," [-513.8351440429688, 160.65953063964844, 0.3053247630596161, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.572971900,0.4229997,False,False
False,False,1746089443583471300," [-513.8351440429688, 160.65953063964844, 0.3053262531757355, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.583471300,0.4334991,False,False
False,False,1746089443593472000," [-513.8351440429688, 160.65953063964844, 0.3053262531757355, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.593472000,0.4434998,False,False
False,False,1746089443603971800," [-513.8351440429688, 160.65953063964844, 0.3053278923034668, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.603971800,0.4539996,False,False
False,False,1746089443614471400," [-513.8351440429688, 160.65953063964844, 0.3053211271762848, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.614471400,0.4644992,False,False
False,False,1746089443624472100," [-513.8351440429688, 160.65953063964844, 0.3053211271762848, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.624472100,0.4744999,False,False
False,False,1746089443634971600," [-513.8351440429688, 160.65953063964844, 0.30532342195510864, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.634971600,0.4849994,False,False
False,False,1746089443644974400," [-513.8351440429688, 160.65953063964844, 0.3053258955478668, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.644974400,0.4950022,False,False
False,False,1746089443655971400," [-513.8351440429688, 160.65953063964844, 0.30532875657081604, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.655971400,0.5059992,False,False
False,False,1746089443666471600," [-513.8351440429688, 160.65953063964844, 0.30532875657081604, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.666471600,0.5164994,False,False
False,False,1746089443676971700," [-513.8351440429688, 160.65953063964844, 0.3053297996520996, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.676971700,0.5269995,False,False
False,False,1746089443676971700," [-513.8351440429688, 160.65953063964844, 0.3053297996520996, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.676971700,0.5269995,False,False
False,False,1746089443688471300," [-513.8351440429688, 160.65953063964844, 0.3053297996520996, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.688471300,0.5384991,False,False
False,False,1746089443699471500," [-513.8351440429688, 160.65953063964844, 0.3053297996520996, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.699471500,0.5494993,False,False
False,False,1746089443709971800," [-513.8351440429688, 160.65953063964844, 0.30533134937286377, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.709971800,0.5599996,False,False
False,False,1746089443719971500," [-513.8351440429688, 160.65953063964844, 0.30533134937286377, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.719971500,0.5699993,False,False
False,False,1746089443730471800," [-513.8351440429688, 160.65953063964844, 0.30533134937286377, 90.00020599365234, -0.13513527810573578, -0.1597595363855362]"," [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]",,,2025-05-01 08:50:43.730471800,0.5804996,False,False
