Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745597346443530500," [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.443530500,0.0,False,False
False,False,1745597346454953900," [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.454953900,0.0114234,False,False
False,False,1745597346465383800," [-513.8355102539062, 160.65948486328125, 0.3062083423137665, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.465383800,0.0218533,False,False
False,False,1745597346475814200," [-513.8355102539062, 160.65948486328125, 0.306153267621994, 90.00033569335938, -0.13333211839199066, -0.1570129096508026]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.475814200,0.0322837,False,False
False,False,1745597346486243800," [-513.8355102539062, 160.65948486328125, 0.3060969412326813, 90.00033569335938, -0.13339358568191528, -0.15716552734375]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.486243800,0.0427133,False,False
False,False,1745597346497170100," [-513.8355102539062, 160.65948486328125, 0.3060969412326813, 90.00033569335938, -0.13339358568191528, -0.15716552734375]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.497170100,0.0536396,False,False
False,False,1745597346508593600," [-513.8355102539062, 160.65948486328125, 0.3060391843318939, 90.00033569335938, -0.1334550529718399, -0.1573486179113388]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.508593600,0.0650631,False,False
False,False,1745597346519520500," [-513.8355102539062, 160.65948486328125, 0.305982381105423, 90.00033569335938, -0.13354384899139404, -0.1575012058019638]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.519520500,0.07599,False,False
False,False,1745597346529950400," [-513.8355102539062, 160.65948486328125, 0.30593055486679077, 90.00032806396484, -0.13363946974277496, -0.1576842963695526]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.529950400,0.0864199,False,False
False,False,1745597346540877100," [-513.8355102539062, 160.65948486328125, 0.30593055486679077, 90.00032806396484, -0.13363946974277496, -0.1576842963695526]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.540877100,0.0973466,False,False
False,False,1745597346551307100," [-513.8355102539062, 160.65948486328125, 0.30586862564086914, 90.00032806396484, -0.1337282657623291, -0.1578674167394638]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.551307100,0.1077766,False,False
False,False,1745597346561737000," [-513.8355102539062, 160.65948486328125, 0.3058232367038727, 90.00032806396484, -0.13384437561035156, -0.1580505222082138]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.561737000,0.1182065,False,False
False,False,1745597346571980300," [-513.8355102539062, 160.65948486328125, 0.3057677149772644, 90.00033569335938, -0.133967325091362, -0.1582031100988388]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.571980300,0.1284498,False,False
False,False,1745597346582597000," [-513.8355102539062, 160.65948486328125, 0.3057677149772644, 90.00033569335938, -0.133967325091362, -0.1582031100988388]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.582597000,0.1390665,False,False
False,False,1745597346593026900," [-513.8355102539062, 160.65948486328125, 0.30572181940078735, 90.00033569335938, -0.13406294584274292, -0.158355712890625]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.593026900,0.1494964,False,False
False,False,1745597346603457200," [-513.8355102539062, 160.65948486328125, 0.3056761622428894, 90.00033569335938, -0.13415174186229706, -0.15850830078125]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.603457200,0.1599267,False,False
False,False,1745597346614383300," [-513.8355102539062, 160.65948486328125, 0.3056354522705078, 90.00033569335938, -0.13428151607513428, -0.1586609035730362]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.614383300,0.1708528,False,False
False,False,1745597346625310500," [-513.8355102539062, 160.65948486328125, 0.3056354522705078, 90.00033569335938, -0.13428151607513428, -0.1586609035730362]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.625310500,0.18178,False,False
False,False,1745597346636237100," [-513.8355102539062, 160.65948486328125, 0.3055979609489441, 90.00033569335938, -0.1343771368265152, -0.158782958984375]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.636237100,0.1927066,False,False
False,False,1745597346646666900," [-513.8355102539062, 160.65948486328125, 0.30556249618530273, 90.00033569335938, -0.13446593284606934, -0.1588744968175888]"," [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]",,,2025-04-25 16:09:06.646666900,0.2031364,False,False
