Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745485287685921700," [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.685921700,0.0,False,False
False,False,1745485287696849400," [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.696849400,0.0109277,False,False
False,False,1745485287707280000," [-513.8353881835938, 160.6594696044922, 0.30595800280570984, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.707280000,0.0213583,False,False
False,False,1745485287717710900," [-513.8353881835938, 160.6594696044922, 0.3059128224849701, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.717710900,0.0317892,False,False
False,False,1745485287728141700," [-513.8353881835938, 160.6594696044922, 0.3058641850948334, 90.00062561035156, -0.13299743831157684, -0.1582946628332138]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.728141700,0.04222,False,False
False,False,1745485287739069400," [-513.8353881835938, 160.6594696044922, 0.3058641850948334, 90.00062561035156, -0.13299743831157684, -0.1582946628332138]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.739069400,0.0531477,False,False
False,False,1745485287749997000," [-513.8353881835938, 160.6594696044922, 0.3058139383792877, 90.00062561035156, -0.13299743831157684, -0.1582946628332138]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.749997000,0.0640753,False,False
False,False,1745485287760427900," [-513.8353881835938, 160.6594696044922, 0.3057737946510315, 90.00062561035156, -0.13320234417915344, -0.15850830078125]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.760427900,0.0745062,False,False
False,False,1745485287771355300," [-513.8353881835938, 160.6594696044922, 0.3057737946510315, 90.00062561035156, -0.13320234417915344, -0.15850830078125]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.771355300,0.0854336,False,False
False,False,1745485287782283000," [-513.8353881835938, 160.6594696044922, 0.3057280480861664, 90.00062561035156, -0.13333211839199066, -0.1585998684167862]"," [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]",,,2025-04-24 09:01:27.782283000,0.0963613,False,False
