Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1746187688631263500," [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.631263500,0.0,False,False
False,False,1746187688641693700," [-513.8343505859375, 160.65943908691406, 0.30607905983924866, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.641693700,0.0104302,False,False
False,False,1746187688652123400," [-513.8343505859375, 160.65943908691406, 0.30607905983924866, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.652123400,0.0208599,False,False
False,False,1746187688663050500," [-513.8343505859375, 160.65943908691406, 0.30600613355636597, 90.00018310546875, -0.13122841715812683, -0.162872314453125]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.663050500,0.031787,False,False
False,False,1746187688673310200," [-513.8343505859375, 160.65943908691406, 0.30600613355636597, 90.00018310546875, -0.13122841715812683, -0.162872314453125]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.673310200,0.0420467,False,False
False,False,1746187688684406900," [-513.8343505859375, 160.65943908691406, 0.3059438467025757, 90.00018310546875, -0.1313786804676056, -0.1626891940832138]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.684406900,0.0531434,False,False
False,False,1746187688695333600," [-513.8343505859375, 160.65943908691406, 0.30587542057037354, 90.00018310546875, -0.13159041106700897, -0.1624450534582138]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.695333600,0.0640701,False,False
False,False,1746187688706260200," [-513.8343505859375, 160.65943908691406, 0.30587542057037354, 90.00018310546875, -0.13159041106700897, -0.1624450534582138]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.706260200,0.0749967,False,False
False,False,1746187688717186800," [-513.8343505859375, 160.65945434570312, 0.3058169186115265, 90.00018310546875, -0.13180215656757355, -0.1622314155101776]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.717186800,0.0859233,False,False
False,False,1746187688727616800," [-513.8343505859375, 160.65945434570312, 0.3057556450366974, 90.00018310546875, -0.1320207118988037, -0.1620177924633026]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.727616800,0.0963533,False,False
False,False,1746187688739040200," [-513.8343505859375, 160.65945434570312, 0.3057556450366974, 90.00018310546875, -0.1320207118988037, -0.1620177924633026]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.739040200,0.1077767,False,False
False,False,1746187688749966900," [-513.8343505859375, 160.65945434570312, 0.30570709705352783, 90.00018310546875, -0.13226661086082458, -0.16180415451526642]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.749966900,0.1187034,False,False
False,False,1746187688760396700," [-513.8343505859375, 160.65945434570312, 0.3056510090827942, 90.00018310546875, -0.1325329840183258, -0.1615905612707138]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.760396700,0.1291332,False,False
False,False,1746187688771323200," [-513.8343505859375, 160.65945434570312, 0.3056510090827942, 90.00018310546875, -0.1325329840183258, -0.1615905612707138]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.771323200,0.1400597,False,False
False,False,1746187688781753400," [-513.8343505859375, 160.65945434570312, 0.3056115210056305, 90.00018310546875, -0.13275155425071716, -0.1613769382238388]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.781753400,0.1504899,False,False
False,False,1746187688792680200," [-513.8343505859375, 160.65945434570312, 0.3055644631385803, 90.00018310546875, -0.13302475214004517, -0.16119384765625]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.792680200,0.1614167,False,False
False,False,1746187688803449300," [-513.8343505859375, 160.65945434570312, 0.3055644631385803, 90.00018310546875, -0.13302475214004517, -0.16119384765625]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.803449300,0.1721858,False,False
False,False,1746187688803449300," [-513.8343505859375, 160.65945434570312, 0.30553367733955383, 90.00018310546875, -0.13323649764060974, -0.1610412448644638]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.803449300,0.1721858,False,False
False,False,1746187688814533400," [-513.8343505859375, 160.65945434570312, 0.3054907023906708, 90.00018310546875, -0.13348238170146942, -0.1608886569738388]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.814533400,0.1832699,False,False
False,False,1746187688825460100," [-513.8343505859375, 160.65945434570312, 0.3054649829864502, 90.00018310546875, -0.13370095193386078, -0.1607666015625]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.825460100,0.1941966,False,False
False,False,1746187688836883200," [-513.8343505859375, 160.65945434570312, 0.3054649829864502, 90.00018310546875, -0.13370095193386078, -0.1607666015625]"," [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]",,,2025-05-02 12:08:08.836883200,0.2056197,False,False
