Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1746112504910333400," [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.910333400,0.0,False,False
False,False,1746112504921332800," [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.921332800,0.0109994,False,False
False,False,1746112504931833500," [-513.8343505859375, 160.659423828125, 0.3061365485191345, 90.0001449584961, -0.13128988444805145, -0.16339111328125]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.931833500,0.0215001,False,False
False,False,1746112504931833500," [-513.8343505859375, 160.659423828125, 0.3061365485191345, 90.0001449584961, -0.13128988444805145, -0.16339111328125]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.931833500,0.0215001,False,False
False,False,1746112504942333200," [-513.8343505859375, 160.659423828125, 0.30606111884117126, 90.0001449584961, -0.1313786804676056, -0.1632384955883026]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.942333200,0.0319998,False,False
False,False,1746112504953336400," [-513.8343505859375, 160.659423828125, 0.3059985935688019, 90.0001449584961, -0.13152894377708435, -0.1630248874425888]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.953336400,0.043003,False,False
False,False,1746112504963833000," [-513.8343505859375, 160.659423828125, 0.3059985935688019, 90.0001449584961, -0.13152894377708435, -0.1630248874425888]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.963833000,0.0534996,False,False
False,False,1746112504974333300," [-513.8343505859375, 160.65943908691406, 0.3059351146221161, 90.0001449584961, -0.1317133605480194, -0.1627807319164276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.974333300,0.0639999,False,False
False,False,1746112504985333500," [-513.8343505859375, 160.65943908691406, 0.3059351146221161, 90.0001449584961, -0.1317133605480194, -0.1627807319164276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.985333500,0.0750001,False,False
False,False,1746112504996332700," [-513.8343505859375, 160.65943908691406, 0.30586856603622437, 90.0001449584961, -0.13193193078041077, -0.1625365912914276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:04.996332700,0.0859993,False,False
False,False,1746112505007332800," [-513.8343505859375, 160.65943908691406, 0.30586856603622437, 90.0001449584961, -0.13193193078041077, -0.1625365912914276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.007332800,0.0969994,False,False
False,False,1746112505017832500," [-513.8343505859375, 160.65943908691406, 0.30580756068229675, 90.0001449584961, -0.13214366137981415, -0.1622924506664276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.017832500,0.1074991,False,False
False,False,1746112505028833800," [-513.8343505859375, 160.65943908691406, 0.3057417869567871, 90.0001449584961, -0.13238272070884705, -0.16201777756214142]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.028833800,0.1185004,False,False
False,False,1746112505039333200," [-513.8343505859375, 160.65943908691406, 0.3057417869567871, 90.0001449584961, -0.13238272070884705, -0.16201777756214142]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.039333200,0.1289998,False,False
False,False,1746112505050334300," [-513.8343505859375, 160.65943908691406, 0.30568957328796387, 90.0001449584961, -0.13262860476970673, -0.16177363693714142]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.050334300,0.1400009,False,False
False,False,1746112505060832800," [-513.8343505859375, 160.65943908691406, 0.3056442439556122, 90.0001449584961, -0.1328744888305664, -0.1615600287914276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.060832800,0.1504994,False,False
False,False,1746112505071833000," [-513.8343505859375, 160.65943908691406, 0.3056442439556122, 90.0001449584961, -0.1328744888305664, -0.1615600287914276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.071833000,0.1614996,False,False
False,False,1746112505083332300," [-513.8343505859375, 160.65943908691406, 0.30559995770454407, 90.0001449584961, -0.1331135481595993, -0.1613769382238388]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.083332300,0.1729989,False,False
False,False,1746112505093833000," [-513.8343505859375, 160.65943908691406, 0.30555716156959534, 90.0001449584961, -0.13333211839199066, -0.16119384765625]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.093833000,0.1834996,False,False
False,False,1746112505104333800," [-513.8343505859375, 160.65943908691406, 0.30555716156959534, 90.0001449584961, -0.13333211839199066, -0.16119384765625]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.104333800,0.1940004,False,False
False,False,1746112505115333200," [-513.8343505859375, 160.65943908691406, 0.30552175641059875, 90.0001449584961, -0.13354384899139404, -0.1610107272863388]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.115333200,0.2049998,False,False
False,False,1746112505115333200," [-513.8343505859375, 160.65943908691406, 0.3054904043674469, 90.0001449584961, -0.1337282657623291, -0.1608581244945526]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.115333200,0.2049998,False,False
False,False,1746112505126332400," [-513.8343505859375, 160.65943908691406, 0.3054904043674469, 90.0001449584961, -0.1337282657623291, -0.1608581244945526]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.126332400,0.215999,False,False
False,False,1746112505136832400," [-513.8343505859375, 160.65943908691406, 0.3054633140563965, 90.0001449584961, -0.1339331716299057, -0.1607360541820526]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.136832400,0.226499,False,False
False,False,1746112505147832300," [-513.8343505859375, 160.65943908691406, 0.3054364323616028, 90.00018310546875, -0.13412441313266754, -0.1606139987707138]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.147832300,0.2374989,False,False
False,False,1746112505158833600," [-513.8343505859375, 160.65943908691406, 0.3054364323616028, 90.00018310546875, -0.13412441313266754, -0.1606139987707138]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.158833600,0.2485002,False,False
False,False,1746112505168834100," [-513.8343505859375, 160.65943908691406, 0.3054127097129822, 90.00018310546875, -0.13431566953659058, -0.1605224609375]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.168834100,0.2585007,False,False
False,False,1746112505179332400," [-513.8343505859375, 160.65943908691406, 0.3054127097129822, 90.00018310546875, -0.13431566953659058, -0.1605224609375]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.179332400,0.268999,False,False
False,False,1746112505189833400," [-513.8343505859375, 160.65943908691406, 0.3053949475288391, 90.00018310546875, -0.13446593284606934, -0.160430908203125]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.189833400,0.2795,False,False
False,False,1746112505200333900," [-513.8343505859375, 160.65943908691406, 0.3053949475288391, 90.00018310546875, -0.13446593284606934, -0.160430908203125]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.200333900,0.2900005,False,False
False,False,1746112505211332900," [-513.8343505859375, 160.65943908691406, 0.3053770661354065, 90.00018310546875, -0.13460935652256012, -0.16033935546875]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.211332900,0.3009995,False,False
False,False,1746112505221832800," [-513.8343505859375, 160.65943908691406, 0.3053770661354065, 90.00018310546875, -0.13460935652256012, -0.16033935546875]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.221832800,0.3114994,False,False
False,False,1746112505231832500," [-513.8343505859375, 160.65943908691406, 0.3053634762763977, 90.00015258789062, -0.13473230600357056, -0.16027826070785522]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.231832500,0.3214991,False,False
False,False,1746112505242333200," [-513.8343505859375, 160.65943908691406, 0.3053451180458069, 90.00015258789062, -0.13473230600357056, -0.16027826070785522]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.242333200,0.3319998,False,False
False,False,1746112505252833000," [-513.8343505859375, 160.65943908691406, 0.3053451180458069, 90.00015258789062, -0.13473230600357056, -0.16027826070785522]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.252833000,0.3424996,False,False
False,False,1746112505263332500," [-513.8343505859375, 160.65943908691406, 0.3053354322910309, 90.00015258789062, -0.13491672277450562, -0.1601562350988388]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.263332500,0.3529991,False,False
False,False,1746112505273333200," [-513.8343505859375, 160.65943908691406, 0.3053354322910309, 90.00015258789062, -0.13491672277450562, -0.1601562350988388]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.273333200,0.3629998,False,False
False,False,1746112505284832300," [-513.8343505859375, 160.65943908691406, 0.30532243847846985, 90.00015258789062, -0.13491672277450562, -0.1601562350988388]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.284832300,0.3744989,False,False
False,False,1746112505295832100," [-513.8343505859375, 160.65943908691406, 0.3053154945373535, 90.00015258789062, -0.13510796427726746, -0.1600646823644638]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.295832100,0.3854987,False,False
False,False,1746112505307332800," [-513.8343505859375, 160.65943908691406, 0.3053154945373535, 90.00015258789062, -0.13510796427726746, -0.1600646823644638]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.307332800,0.3969994,False,False
False,False,1746112505317833300," [-513.8343505859375, 160.65943908691406, 0.30531254410743713, 90.00015258789062, -0.13510796427726746, -0.1600646823644638]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.317833300,0.4074999,False,False
False,False,1746112505328832100," [-513.8343505859375, 160.65943908691406, 0.30531254410743713, 90.00015258789062, -0.13510796427726746, -0.1600646823644638]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.328832100,0.4184987,False,False
False,False,1746112505338834000," [-513.8343505859375, 160.65943908691406, 0.30531254410743713, 90.00015258789062, -0.13510796427726746, -0.1600646823644638]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.338834000,0.4285006,False,False
False,False,1746112505349832600," [-513.8343505859375, 160.65943908691406, 0.3053063452243805, 90.00015258789062, -0.13510796427726746, -0.1600646823644638]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.349832600,0.4394992,False,False
False,False,1746112505360332300," [-513.8343505859375, 160.65943908691406, 0.3053041994571686, 90.00015258789062, -0.13518992066383362, -0.1599731147289276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.360332300,0.4499989,False,False
False,False,1746112505371332400," [-513.8343505859375, 160.65943908691406, 0.3053041994571686, 90.00015258789062, -0.13518992066383362, -0.1599731147289276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.371332400,0.460999,False,False
False,False,1746112505382331500," [-513.8343505859375, 160.65943908691406, 0.3053041994571686, 90.00015258789062, -0.13518992066383362, -0.1599731147289276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.382331500,0.4719981,False,False
False,False,1746112505393331900," [-513.8343505859375, 160.65943908691406, 0.3053031861782074, 90.00015258789062, -0.13518992066383362, -0.1599731147289276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.393331900,0.4829985,False,False
False,False,1746112505403331800," [-513.8343505859375, 160.65943908691406, 0.3053031861782074, 90.00015258789062, -0.13518992066383362, -0.1599731147289276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.403331800,0.4929984,False,False
False,False,1746112505414831900," [-513.8343505859375, 160.65943908691406, 0.30528774857521057, 90.00015258789062, -0.13518992066383362, -0.1599731147289276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.414831900,0.5044985,False,False
False,False,1746112505414831900," [-513.8343505859375, 160.65943908691406, 0.30528774857521057, 90.00015258789062, -0.13518992066383362, -0.1599731147289276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.414831900,0.5044985,False,False
False,False,1746112505425332200," [-513.8343505859375, 160.65943908691406, 0.30528774857521057, 90.00015258789062, -0.13518992066383362, -0.1599731147289276]"," [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]",,,2025-05-01 15:15:05.425332200,0.5149988,False,False
