Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745855804473851400," [-513.8351440429688, 160.65956115722656, 0.30574941635131836, 90.00021362304688, -0.1290564239025116, -0.15927119553089142]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.473851400,0.0,False,False
False,False,1745855804484778500," [-513.8351440429688, 160.65956115722656, 0.30574941635131836, 90.00021362304688, -0.1290564239025116, -0.15927119553089142]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.484778500,0.0109271,False,False
False,False,1745855804495704600," [-513.8351440429688, 160.65956115722656, 0.30564823746681213, 90.00021362304688, -0.12933646142482758, -0.1593322604894638]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.495704600,0.0218532,False,False
False,False,1745855804506631600," [-513.8351440429688, 160.65956115722656, 0.3056032955646515, 90.00021362304688, -0.12949354946613312, -0.1593627631664276]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.506631600,0.0327802,False,False
False,False,1745855804517061700," [-513.8351440429688, 160.65956115722656, 0.3056032955646515, 90.00021362304688, -0.12949354946613312, -0.1593627631664276]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.517061700,0.0432103,False,False
False,False,1745855804527988000," [-513.8351440429688, 160.65956115722656, 0.3055475056171417, 90.00021362304688, -0.12972576916217804, -0.1593932807445526]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.527988000,0.0541366,False,False
False,False,1745855804538914800," [-513.8351440429688, 160.65956115722656, 0.3055475056171417, 90.00021362304688, -0.12972576916217804, -0.1593932807445526]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.538914800,0.0650634,False,False
False,False,1745855804549344900," [-513.8351440429688, 160.65956115722656, 0.3055124580860138, 90.00021362304688, -0.13000580668449402, -0.1594238132238388]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.549344900,0.0754935,False,False
False,False,1745855804560271300," [-513.8351440429688, 160.65956115722656, 0.30546835064888, 90.00021362304688, -0.13034048676490784, -0.1594543159008026]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.560271300,0.0864199,False,False
False,False,1745855804570701700," [-513.8351440429688, 160.65956115722656, 0.30546835064888, 90.00021362304688, -0.13034048676490784, -0.1594543159008026]"," [237.9475860595703, -119.03042602539062, 0.0074487305246293545, -0.00042724609375, 0.23165267705917358, -6.103515261202119e-05]",,,2025-04-28 15:56:44.570701700,0.0968503,False,False
