Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1746087068124838100," [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.124838100,0.0,False,False
False,False,1746087068136337900," [-513.8345336914062, 160.659423828125, 0.30603188276290894, 90.00021362304688, -0.130893737077713, -0.1626891940832138]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.136337900,0.0114998,False,False
False,False,1746087068146838700," [-513.8345336914062, 160.659423828125, 0.30603188276290894, 90.00021362304688, -0.130893737077713, -0.1626891940832138]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.146838700,0.0220006,False,False
False,False,1746087068157839000," [-513.8345336914062, 160.659423828125, 0.3059646785259247, 90.00021362304688, -0.13104400038719177, -0.1625060737133026]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.157839000,0.0330009,False,False
False,False,1746087068168337800," [-513.8345336914062, 160.659423828125, 0.3059646785259247, 90.00021362304688, -0.13104400038719177, -0.1625060737133026]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.168337800,0.0434997,False,False
False,False,1746087068178338900," [-513.8345336914062, 160.659423828125, 0.3059079647064209, 90.00021362304688, -0.13122841715812683, -0.1623535007238388]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.178338900,0.0535008,False,False
False,False,1746087068189337900," [-513.8345336914062, 160.659423828125, 0.3058408796787262, 90.00021362304688, -0.1314401477575302, -0.16213984787464142]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.189337900,0.0644998,False,False
False,False,1746087068199338300," [-513.8345336914062, 160.659423828125, 0.3058408796787262, 90.00021362304688, -0.1314401477575302, -0.16213984787464142]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.199338300,0.0745002,False,False
False,False,1746087068209338600," [-513.8345336914062, 160.659423828125, 0.30578577518463135, 90.00021362304688, -0.1316450536251068, -0.1619567573070526]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.209338600,0.0845005,False,False
False,False,1746087068219338400," [-513.8345336914062, 160.65943908691406, 0.30573171377182007, 90.00021362304688, -0.13189777731895447, -0.16174311935901642]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.219338400,0.0945003,False,False
False,False,1746087068230338300," [-513.8345336914062, 160.65943908691406, 0.30573171377182007, 90.00021362304688, -0.13189777731895447, -0.16174311935901642]"," [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]",,,2025-05-01 08:11:08.230338300,0.1055002,False,False
