Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745572983192987200," [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.192987200,0.0,False,False
False,False,1745572983203913700," [-513.8355102539062, 160.65948486328125, 0.3059494197368622, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.203913700,0.0109265,False,False
False,False,1745572983214840400," [-513.8355102539062, 160.65948486328125, 0.3059494197368622, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.214840400,0.0218532,False,False
False,False,1745572983225766800," [-513.8355102539062, 160.65948486328125, 0.3058743476867676, 90.0004653930664, -0.133079394698143, -0.1580505073070526]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.225766800,0.0327796,False,False
False,False,1745572983236197100," [-513.8355102539062, 160.65948486328125, 0.3058743476867676, 90.0004653930664, -0.133079394698143, -0.1580505073070526]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.236197100,0.0432099,False,False
False,False,1745572983246626800," [-513.8355102539062, 160.65948486328125, 0.30579981207847595, 90.0004653930664, -0.13317501544952393, -0.1581725776195526]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.246626800,0.0536396,False,False
False,False,1745572983257553400," [-513.8355102539062, 160.65948486328125, 0.3057473301887512, 90.0004653930664, -0.13326381146907806, -0.1582946479320526]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.257553400,0.0645662,False,False
False,False,1745572983267983900," [-513.8355102539062, 160.65948486328125, 0.3057473301887512, 90.0004653930664, -0.13326381146907806, -0.1582946479320526]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.267983900,0.0749967,False,False
False,False,1745572983278910000," [-513.8355102539062, 160.65948486328125, 0.3056849539279938, 90.0004653930664, -0.13339358568191528, -0.1584472507238388]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.278910000,0.0859228,False,False
False,False,1745572983289837100," [-513.8355102539062, 160.65948486328125, 0.30564260482788086, 90.00048828125, -0.13351653516292572, -0.1585693508386612]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.289837100,0.0968499,False,False
False,False,1745572983300267000," [-513.8355102539062, 160.65948486328125, 0.30564260482788086, 90.00048828125, -0.13351653516292572, -0.1585693508386612]"," [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]",,,2025-04-25 09:23:03.300267000,0.1072798,False,False
