Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745568906962845200," [-513.83447265625, 160.65945434570312, 0.3062386214733124, 90.00020599365234, -0.13189777731895447, -0.163482666015625]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:06.962845200,0.0,False,False
False,False,1745568907598081000," [-513.83447265625, 160.65945434570312, 0.3062386214733124, 90.00020599365234, -0.13189777731895447, -0.163482666015625]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.598081000,0.6352358,False,False
False,False,1745568907609009400," [-513.83447265625, 160.65945434570312, 0.3061395287513733, 90.00020599365234, -0.13183631002902985, -0.163116455078125]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.609009400,0.6461642,False,False
False,False,1745568907619437900," [-513.83447265625, 160.65945434570312, 0.3061395287513733, 90.00020599365234, -0.13183631002902985, -0.163116455078125]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.619437900,0.6565927,False,False
False,False,1745568907630364300," [-513.83447265625, 160.65945434570312, 0.3060554563999176, 90.00020599365234, -0.13193193078041077, -0.1629638671875]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.630364300,0.6675191,False,False
False,False,1745568907640791000," [-513.83447265625, 160.65945434570312, 0.3060554563999176, 90.00020599365234, -0.13193193078041077, -0.1629638671875]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.640791000,0.6779458,False,False
False,False,1745568907651721000," [-513.83447265625, 160.65945434570312, 0.3059910833835602, 90.00020599365234, -0.13204804062843323, -0.162750244140625]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.651721000,0.6888758,False,False
False,False,1745568907662647500," [-513.83447265625, 160.65945434570312, 0.30591630935668945, 90.00020599365234, -0.1322324573993683, -0.1625060737133026]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.662647500,0.6998023,False,False
False,False,1745568907672713400," [-513.83447265625, 160.65945434570312, 0.30591630935668945, 90.00020599365234, -0.1322324573993683, -0.1625060737133026]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.672713400,0.7098682,False,False
False,False,1745568907683010900," [-513.83447265625, 160.65945434570312, 0.3058532774448395, 90.00020599365234, -0.13241003453731537, -0.16229248046875]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.683010900,0.7201657,False,False
False,False,1745568907693437600," [-513.83447265625, 160.65945434570312, 0.305796355009079, 90.00020599365234, -0.1326012909412384, -0.16204833984375]"," [237.94769287109375, -119.03086853027344, 0.007254581432789564, -0.000640869140625, 0.23525218665599823, -0.005584716796875]",,,2025-04-25 08:15:07.693437600,0.7305924,False,False
