Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1746098435237668100," [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.237668100,0.0,False,False
False,False,1746098435247667900," [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.247667900,0.0099998,False,False
False,False,1746098435258167200," [-513.8344116210938, 160.65939331054688, 0.30596908926963806, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.258167200,0.0204991,False,False
False,False,1746098435268667700," [-513.8344116210938, 160.65939331054688, 0.3059062063694, 90.0001449584961, -0.13040196895599365, -0.1619872748851776]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.268667700,0.0309996,False,False
False,False,1746098435279168700," [-513.8344116210938, 160.65939331054688, 0.3059062063694, 90.0001449584961, -0.13040196895599365, -0.1619872748851776]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.279168700,0.0415006,False,False
False,False,1746098435289669700," [-513.8344116210938, 160.65939331054688, 0.3058418333530426, 90.0001449584961, -0.13057954609394073, -0.1618652194738388]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.289669700,0.0520016,False,False
False,False,1746098435300167700," [-513.8344116210938, 160.65939331054688, 0.3058418333530426, 90.0001449584961, -0.13057954609394073, -0.1618652194738388]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.300167700,0.0624996,False,False
False,False,1746098435310668000," [-513.8344116210938, 160.65939331054688, 0.30578693747520447, 90.0001449584961, -0.1307981163263321, -0.1617126166820526]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.310668000,0.0729999,False,False
False,False,1746098435321667200," [-513.8344116210938, 160.65939331054688, 0.3057307302951813, 90.0001449584961, -0.1310713291168213, -0.1615600436925888]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.321667200,0.0839991,False,False
False,False,1746098435331667900," [-513.8344116210938, 160.65939331054688, 0.3057307302951813, 90.0001449584961, -0.1310713291168213, -0.1615600436925888]"," [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]",,,2025-05-01 11:20:35.331667900,0.0939998,False,False
