Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745582070747269900," [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:30.747269900,0.0,False,False
False,False,1745582071381015600," [-513.8353881835938, 160.65948486328125, 0.306093692779541, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.381015600,0.6337457,False,False
False,False,1745582071402372500," [-513.8353881835938, 160.65948486328125, 0.306093692779541, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.402372500,0.6551026,False,False
False,False,1745582071402372500," [-513.8353881835938, 160.65948486328125, 0.30600622296333313, 90.0004653930664, -0.133079394698143, -0.1572265326976776]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.402372500,0.6551026,False,False
False,False,1745582071413298900," [-513.8353881835938, 160.65948486328125, 0.30600622296333313, 90.0004653930664, -0.133079394698143, -0.1572265326976776]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.413298900,0.666029,False,False
False,False,1745582071424225700," [-513.8353881835938, 160.65948486328125, 0.3059476315975189, 90.0004653930664, -0.13314087688922882, -0.1573791205883026]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.424225700,0.6769558,False,False
False,False,1745582071435152400," [-513.8353881835938, 160.65948486328125, 0.3059476315975189, 90.0004653930664, -0.13314087688922882, -0.1573791205883026]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.435152400,0.6878825,False,False
False,False,1745582071445582400," [-513.8353881835938, 160.65948486328125, 0.3058720529079437, 90.0004653930664, -0.13326381146907806, -0.1575927436351776]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.445582400,0.6983125,False,False
False,False,1745582071456012500," [-513.8353881835938, 160.65948486328125, 0.3058720529079437, 90.0004653930664, -0.13326381146907806, -0.1575927436351776]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.456012500,0.7087426,False,False
False,False,1745582071466938900," [-513.8353881835938, 160.65948486328125, 0.3058129549026489, 90.0004653930664, -0.13339358568191528, -0.1577758491039276]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.466938900,0.719669,False,False
False,False,1745582071477865600," [-513.8353881835938, 160.65948486328125, 0.3058129549026489, 90.0004653930664, -0.13339358568191528, -0.1577758491039276]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.477865600,0.7305957,False,False
False,False,1745582071488792600," [-513.8353881835938, 160.65948486328125, 0.30574920773506165, 90.0004653930664, -0.13351653516292572, -0.1579894721508026]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.488792600,0.7415227,False,False
False,False,1745582071500215400," [-513.8353881835938, 160.65948486328125, 0.3057005703449249, 90.0004653930664, -0.13366679847240448, -0.1581725925207138]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.500215400,0.7529455,False,False
False,False,1745582071511638900," [-513.8353881835938, 160.65948486328125, 0.3057005703449249, 90.0004653930664, -0.13366679847240448, -0.1581725925207138]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.511638900,0.764369,False,False
False,False,1745582071522565700," [-513.8353881835938, 160.65948486328125, 0.30565014481544495, 90.0004653930664, -0.13378290832042694, -0.1583251804113388]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.522565700,0.7752958,False,False
False,False,1745582071533492200," [-513.8353881835938, 160.65948486328125, 0.3055993318557739, 90.0004653930664, -0.1339331716299057, -0.1585082858800888]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.533492200,0.7862223,False,False
False,False,1745582071543922400," [-513.8353881835938, 160.65948486328125, 0.3055993318557739, 90.0004653930664, -0.1339331716299057, -0.1585082858800888]"," [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]",,,2025-04-25 11:54:31.543922400,0.7966525,False,False
