Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745503966942729200," [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:46.942729200,0.0,False,False
False,False,1745503966953656100," [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:46.953656100,0.0109269,False,False
False,False,1745503966964582200," [-513.8345336914062, 160.65943908691406, 0.3060160279273987, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:46.964582200,0.021853,False,False
False,False,1745503966975508700," [-513.8345336914062, 160.65943908691406, 0.3059549927711487, 90.00044250488281, -0.13156309723854065, -0.1618041694164276]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:46.975508700,0.0327795,False,False
False,False,1745503966975508700," [-513.8345336914062, 160.65943908691406, 0.3059549927711487, 90.00044250488281, -0.13156309723854065, -0.1618041694164276]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:46.975508700,0.0327795,False,False
False,False,1745503966986436000," [-513.8345336914062, 160.65945434570312, 0.3058890104293823, 90.00044250488281, -0.1317133605480194, -0.1616821140050888]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:46.986436000,0.0437068,False,False
False,False,1745503966997364200," [-513.8345336914062, 160.65945434570312, 0.3058289587497711, 90.00044250488281, -0.13189777731895447, -0.161529541015625]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:46.997364200,0.054635,False,False
False,False,1745503967008289500," [-513.8345336914062, 160.65945434570312, 0.3058289587497711, 90.00044250488281, -0.13189777731895447, -0.161529541015625]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:47.008289500,0.0655603,False,False
False,False,1745503967019712900," [-513.8345336914062, 160.65945434570312, 0.3057693541049957, 90.00044250488281, -0.13208219408988953, -0.1613769382238388]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:47.019712900,0.0769837,False,False
False,False,1745503967030142600," [-513.8345336914062, 160.65945434570312, 0.3057693541049957, 90.00044250488281, -0.13208219408988953, -0.1613769382238388]"," [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]",,,2025-04-24 14:12:47.030142600,0.0874134,False,False
