Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745847387078463800," [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.078463800,0.0,False,False
False,False,1745847387089887600," [-513.8345336914062, 160.659423828125, 0.30608007311820984, 90.00013732910156, -0.13119426369667053, -0.1629638671875]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.089887600,0.0114238,False,False
False,False,1745847387100813700," [-513.8345336914062, 160.659423828125, 0.30608007311820984, 90.00013732910156, -0.13119426369667053, -0.1629638671875]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.100813700,0.0223499,False,False
False,False,1745847387111246900," [-513.8345336914062, 160.659423828125, 0.3060126304626465, 90.00013732910156, -0.13128988444805145, -0.1628112494945526]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.111246900,0.0327831,False,False
False,False,1745847387122170600," [-513.8345336914062, 160.659423828125, 0.3060126304626465, 90.00013732910156, -0.13128988444805145, -0.1628112494945526]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.122170600,0.0437068,False,False
False,False,1745847387133097700," [-513.8345336914062, 160.659423828125, 0.30595165491104126, 90.00013732910156, -0.1314401477575302, -0.1626281440258026]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.133097700,0.0546339,False,False
False,False,1745847387143526800," [-513.8345336914062, 160.659423828125, 0.30587971210479736, 90.00013732910156, -0.1316450536251068, -0.1624145209789276]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.143526800,0.065063,False,False
False,False,1745847387153957200," [-513.8345336914062, 160.659423828125, 0.30587971210479736, 90.00013732910156, -0.1316450536251068, -0.1624145209789276]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.153957200,0.0754934,False,False
False,False,1745847387164884200," [-513.8345336914062, 160.65943908691406, 0.30582061409950256, 90.00013732910156, -0.13187044858932495, -0.1622008979320526]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.164884200,0.0864204,False,False
False,False,1745847387175810400," [-513.8345336914062, 160.65943908691406, 0.305757999420166, 90.00013732910156, -0.13208219408988953, -0.1619567722082138]"," [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]",,,2025-04-28 13:36:27.175810400,0.0973466,False,False
