Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745595615042341700," [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.042341700,0.0,False,False
False,False,1745595615053764800," [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.053764800,0.0114231,False,False
False,False,1745595615064194200," [-513.8343505859375, 160.659423828125, 0.30592018365859985, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.064194200,0.0218525,False,False
False,False,1745595615075121200," [-513.8343505859375, 160.659423828125, 0.30592018365859985, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.075121200,0.0327795,False,False
False,False,1745595615086047800," [-513.8343505859375, 160.659423828125, 0.30586186051368713, 90.0001220703125, -0.1311669498682022, -0.16213984787464142]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.086047800,0.0437061,False,False
False,False,1745595615096477000," [-513.8343505859375, 160.659423828125, 0.30579304695129395, 90.0001220703125, -0.13131721317768097, -0.1619567573070526]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.096477000,0.0541353,False,False
False,False,1745595615107405000," [-513.8343505859375, 160.659423828125, 0.30579304695129395, 90.0001220703125, -0.13131721317768097, -0.1619567573070526]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.107405000,0.0650633,False,False
False,False,1745595615117834200," [-513.8343505859375, 160.659423828125, 0.30573979020118713, 90.0001220703125, -0.13152894377708435, -0.16180415451526642]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.117834200,0.0754925,False,False
False,False,1745595615128264200," [-513.8343505859375, 160.659423828125, 0.30573979020118713, 90.0001220703125, -0.13152894377708435, -0.16180415451526642]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.128264200,0.0859225,False,False
False,False,1745595615138694500," [-513.8343505859375, 160.65943908691406, 0.30568912625312805, 90.0001220703125, -0.13177482783794403, -0.1616210788488388]"," [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]",,,2025-04-25 15:40:15.138694500,0.0963528,False,False
