Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745844600332285000," [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.332285000,0.0,False,False
False,False,1745844600343211700," [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.343211700,0.0109267,False,False
False,False,1745844600354634900," [-513.8343505859375, 160.659423828125, 0.3061660826206207, 90.00011444091797, -0.1311669498682022, -0.1637572944164276]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.354634900,0.0223499,False,False
False,False,1745844600365561400," [-513.8343505859375, 160.659423828125, 0.30609214305877686, 90.00011444091797, -0.13128988444805145, -0.1635742038488388]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.365561400,0.0332764,False,False
False,False,1745844600365561400," [-513.8343505859375, 160.659423828125, 0.30609214305877686, 90.00011444091797, -0.13128988444805145, -0.1635742038488388]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.365561400,0.0332764,False,False
False,False,1745844600376984600," [-513.8343505859375, 160.659423828125, 0.30602195858955383, 90.00011444091797, -0.1314401477575302, -0.163330078125]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.376984600,0.0446996,False,False
False,False,1745844600387911600," [-513.8343505859375, 160.659423828125, 0.3059545159339905, 90.00011444091797, -0.13162456452846527, -0.1630859225988388]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.387911600,0.0556266,False,False
False,False,1745844600398341700," [-513.8343505859375, 160.659423828125, 0.3059545159339905, 90.00011444091797, -0.13162456452846527, -0.1630859225988388]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.398341700,0.0660567,False,False
False,False,1745844600409268100," [-513.8343505859375, 160.659423828125, 0.3059545159339905, 90.00011444091797, -0.13162456452846527, -0.1630859225988388]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.409268100,0.0769831,False,False
False,False,1745844600420194700," [-513.8343505859375, 160.659423828125, 0.3058891296386719, 90.00011444091797, -0.13183631002902985, -0.1628112643957138]"," [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]",,,2025-04-28 12:50:00.420194700,0.0879097,False,False
