Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745488310408075000," [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.408075000,0.0,False,False
False,False,1745488310419498500," [-513.8338623046875, 160.65951538085938, 0.3055363893508911, 90.0001449584961, -0.12368788570165634, -0.1604919135570526]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.419498500,0.0114235,False,False
False,False,1745488310429928400," [-513.8338623046875, 160.65951538085938, 0.3055363893508911, 90.0001449584961, -0.12368788570165634, -0.1604919135570526]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.429928400,0.0218534,False,False
False,False,1745488310440358100," [-513.8338623046875, 160.65951538085938, 0.30548709630966187, 90.0001449584961, -0.12398841977119446, -0.1604613959789276]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.440358100,0.0322831,False,False
False,False,1745488310450788300," [-513.8338623046875, 160.65951538085938, 0.30544787645339966, 90.0001449584961, -0.1244187206029892, -0.1604308933019638]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.450788300,0.0427133,False,False
False,False,1745488310461714800," [-513.8338623046875, 160.65951538085938, 0.30544787645339966, 90.0001449584961, -0.1244187206029892, -0.1604308933019638]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.461714800,0.0536398,False,False
False,False,1745488310472144600," [-513.8338623046875, 160.65951538085938, 0.3054113984107971, 90.00013732910156, -0.12493781000375748, -0.1603698432445526]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.472144600,0.0640696,False,False
False,False,1745488310482574500," [-513.8338623046875, 160.65951538085938, 0.3054113984107971, 90.00013732910156, -0.12493781000375748, -0.1603698432445526]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.482574500,0.0744995,False,False
False,False,1745488310493004500," [-513.8338623046875, 160.65951538085938, 0.3053845167160034, 90.00013732910156, -0.12551838159561157, -0.16033935546875]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.493004500,0.0849295,False,False
False,False,1745488310503434400," [-513.8338623046875, 160.65951538085938, 0.30535462498664856, 90.00013732910156, -0.126194566488266, -0.1602782905101776]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.503434400,0.0953594,False,False
False,False,1745488310514360900," [-513.8338623046875, 160.65951538085938, 0.30535462498664856, 90.00013732910156, -0.126194566488266, -0.1602782905101776]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.514360900,0.1062859,False,False
False,False,1745488310525287700," [-513.8338623046875, 160.65951538085938, 0.30533334612846375, 90.00013732910156, -0.12689124047756195, -0.1602477878332138]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.525287700,0.1172127,False,False
False,False,1745488310535717800," [-513.8338623046875, 160.65951538085938, 0.305315762758255, 90.00013732910156, -0.1275879293680191, -0.160186767578125]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.535717800,0.1276428,False,False
False,False,1745488310546147600," [-513.8338623046875, 160.65951538085938, 0.305315762758255, 90.00013732910156, -0.1275879293680191, -0.160186767578125]"," [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]",,,2025-04-24 09:51:50.546147600,0.1380726,False,False
