Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1746200604858147400," [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.858147400,0.0,False,False
False,False,1746200604868576900," [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.868576900,0.0104295,False,False
False,False,1746200604879007300," [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.879007300,0.0208599,False,False
False,False,1746200604889933600," [-513.8346557617188, 160.6593780517578, 0.30614063143730164, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.889933600,0.0317862,False,False
False,False,1746200604900860100," [-513.8346557617188, 160.6593780517578, 0.3060770630836487, 90.0001220703125, -0.13064102828502655, -0.1627807468175888]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.900860100,0.0427127,False,False
False,False,1746200604900860100," [-513.8346557617188, 160.6593780517578, 0.3060770630836487, 90.0001220703125, -0.13064102828502655, -0.1627807468175888]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.900860100,0.0427127,False,False
False,False,1746200604911787100," [-513.8346557617188, 160.6593780517578, 0.30600765347480774, 90.0001220703125, -0.13082543015480042, -0.1625976264476776]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.911787100,0.0536397,False,False
False,False,1746200604922714300," [-513.8346557617188, 160.6593780517578, 0.3059457540512085, 90.0001220703125, -0.13104400038719177, -0.1623840183019638]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.922714300,0.0645669,False,False
False,False,1746200604933143400," [-513.8346557617188, 160.6593780517578, 0.3059457540512085, 90.0001220703125, -0.13104400038719177, -0.1623840183019638]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.933143400,0.074996,False,False
False,False,1746200604944070600," [-513.8346557617188, 160.6593780517578, 0.3059457540512085, 90.0001220703125, -0.13104400038719177, -0.1623840183019638]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.944070600,0.0859232,False,False
False,False,1746200604954996600," [-513.8346557617188, 160.6593780517578, 0.30587413907051086, 90.00013732910156, -0.13128988444805145, -0.1621703803539276]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.954996600,0.0968492,False,False
False,False,1746200604965924000," [-513.8346557617188, 160.6593780517578, 0.3058130443096161, 90.00013732910156, -0.13156309723854065, -0.1619262546300888]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.965924000,0.1077766,False,False
False,False,1746200604976354000," [-513.8346557617188, 160.6593780517578, 0.3058130443096161, 90.00013732910156, -0.13156309723854065, -0.1619262546300888]"," [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]",,,2025-05-02 15:43:24.976354000,0.1182066,False,False
