Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745336041458218200," [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.458218200,0.0,False,False
False,False,1745336041469144800," [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.469144800,0.0109266,False,False
False,False,1745336041479574800," [-513.8343505859375, 160.659423828125, 0.30574238300323486, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.479574800,0.0213566,False,False
False,False,1745336041489853100," [-513.8343505859375, 160.659423828125, 0.30574238300323486, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.489853100,0.0316349,False,False
False,False,1745336041500931300," [-513.8343505859375, 160.659423828125, 0.30568981170654297, 90.00015258789062, -0.13125573098659515, -0.1613769233226776]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.500931300,0.0427131,False,False
False,False,1745336041511858200," [-513.8343505859375, 160.659423828125, 0.3056405484676361, 90.00015258789062, -0.1314128339290619, -0.1612853854894638]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.511858200,0.05364,False,False
False,False,1745336041522288100," [-513.8343505859375, 160.659423828125, 0.3056405484676361, 90.00015258789062, -0.1314128339290619, -0.1612853854894638]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.522288100,0.0640699,False,False
False,False,1745336041533214800," [-513.8343505859375, 160.659423828125, 0.3055937588214874, 90.00015258789062, -0.13162456452846527, -0.1611633002758026]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.533214800,0.0749966,False,False
False,False,1745336041544141300," [-513.8343505859375, 160.659423828125, 0.3055937588214874, 90.00015258789062, -0.13162456452846527, -0.1611633002758026]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.544141300,0.0859231,False,False
False,False,1745336041555068000," [-513.8343505859375, 160.659423828125, 0.30554765462875366, 90.00015258789062, -0.13183631002902985, -0.1610412299633026]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.555068000,0.0968498,False,False
False,False,1745336041566491500," [-513.8343505859375, 160.659423828125, 0.30549904704093933, 90.00015258789062, -0.13208219408988953, -0.1609191745519638]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.566491500,0.1082733,False,False
False,False,1745336041577417900," [-513.8343505859375, 160.659423828125, 0.30549904704093933, 90.00015258789062, -0.13208219408988953, -0.1609191745519638]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.577417900,0.1191997,False,False
False,False,1745336041588344600," [-513.8343505859375, 160.659423828125, 0.3054700493812561, 90.00015258789062, -0.1323280781507492, -0.1607971042394638]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.588344600,0.1301264,False,False
False,False,1745336041598774900," [-513.8343505859375, 160.659423828125, 0.3054293692111969, 90.00017547607422, -0.1326012909412384, -0.1607055515050888]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.598774900,0.1405567,False,False
False,False,1745336041609701200," [-513.8343505859375, 160.659423828125, 0.3054293692111969, 90.00017547607422, -0.1326012909412384, -0.1607055515050888]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.609701200,0.151483,False,False
False,False,1745336041620131200," [-513.8343505859375, 160.659423828125, 0.3054053485393524, 90.00019073486328, -0.13284717500209808, -0.1605834811925888]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.620131200,0.161913,False,False
False,False,1745336041620131200," [-513.8343505859375, 160.659423828125, 0.3054053485393524, 90.00019073486328, -0.13284717500209808, -0.1605834811925888]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.620131200,0.161913,False,False
False,False,1745336041641487800," [-513.8343505859375, 160.659423828125, 0.3053765296936035, 90.00019073486328, -0.1331135481595993, -0.160491943359375]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.641487800,0.1832696,False,False
False,False,1745336041652414300," [-513.8343505859375, 160.659423828125, 0.3053637742996216, 90.00019073486328, -0.13335943222045898, -0.1604003757238388]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.652414300,0.1941961,False,False
False,False,1745336041662844500," [-513.8343505859375, 160.659423828125, 0.3053637742996216, 90.00019073486328, -0.13335943222045898, -0.1604003757238388]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.662844500,0.2046263,False,False
False,False,1745336041673274300," [-513.8343505859375, 160.659423828125, 0.30534952878952026, 90.00019073486328, -0.13357800245285034, -0.16033935546875]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.673274300,0.2150561,False,False
False,False,1745336041673274300," [-513.8343505859375, 160.659423828125, 0.30533915758132935, 90.00019073486328, -0.13378290832042694, -0.1602782905101776]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.673274300,0.2150561,False,False
False,False,1745336041683704200," [-513.8343505859375, 160.659423828125, 0.30533915758132935, 90.00019073486328, -0.13378290832042694, -0.1602782905101776]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.683704200,0.225486,False,False
False,False,1745336041694631200," [-513.8343505859375, 160.659423828125, 0.30533188581466675, 90.00019073486328, -0.13399463891983032, -0.1602172702550888]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.694631200,0.236413,False,False
False,False,1745336041705063000," [-513.8343505859375, 160.659423828125, 0.3053225576877594, 90.00019073486328, -0.13418589532375336, -0.16015625]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.705063000,0.2468448,False,False
False,False,1745336041715987700," [-513.8343505859375, 160.659423828125, 0.3053225576877594, 90.00019073486328, -0.13418589532375336, -0.16015625]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.715987700,0.2577695,False,False
False,False,1745336041727410800," [-513.8343505859375, 160.659423828125, 0.3053225576877594, 90.00019073486328, -0.13418589532375336, -0.16015625]"," [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]",,,2025-04-22 15:34:01.727410800,0.2691926,False,False
