Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745495415025719800," [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.025719800,0.0,False,False
False,False,1745495415036646100," [-513.8343505859375, 160.659423828125, 0.3059315085411072, 90.00012969970703, -0.13082543015480042, -0.16220088303089142]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.036646100,0.0109263,False,False
False,False,1745495415047572900," [-513.8343505859375, 160.659423828125, 0.3059315085411072, 90.00012969970703, -0.13082543015480042, -0.16220088303089142]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.047572900,0.0218531,False,False
False,False,1745495415058002900," [-513.8343505859375, 160.659423828125, 0.3058687150478363, 90.00012969970703, -0.13094837963581085, -0.1621093600988388]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.058002900,0.0322831,False,False
False,False,1745495415068432700," [-513.8343505859375, 160.659423828125, 0.30581316351890564, 90.00012969970703, -0.1310986429452896, -0.1619567573070526]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.068432700,0.0427129,False,False
False,False,1745495415079359700," [-513.8343505859375, 160.659423828125, 0.30581316351890564, 90.00012969970703, -0.1310986429452896, -0.1619567573070526]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.079359700,0.0536399,False,False
False,False,1745495415090286300," [-513.8343505859375, 160.659423828125, 0.3057563304901123, 90.00012969970703, -0.13131721317768097, -0.1618041694164276]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.090286300,0.0645665,False,False
False,False,1745495415100529000," [-513.8343505859375, 160.659423828125, 0.30570119619369507, 90.00012969970703, -0.13156309723854065, -0.16162109375]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.100529000,0.0748092,False,False
False,False,1745495415111642800," [-513.8343505859375, 160.659423828125, 0.30570119619369507, 90.00012969970703, -0.13156309723854065, -0.16162109375]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.111642800,0.085923,False,False
False,False,1745495415122072900," [-513.8343505859375, 160.659423828125, 0.30565115809440613, 90.00012969970703, -0.13180215656757355, -0.16146846115589142]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.122072900,0.0963531,False,False
False,False,1745495415132999600," [-513.8343505859375, 160.659423828125, 0.30561235547065735, 90.00012969970703, -0.13204804062843323, -0.1612853854894638]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.132999600,0.1072798,False,False
False,False,1745495415143429800," [-513.8343505859375, 160.659423828125, 0.30561235547065735, 90.00012969970703, -0.13204804062843323, -0.1612853854894638]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.143429800,0.11771,False,False
False,False,1745495415154852700," [-513.8343505859375, 160.659423828125, 0.30556944012641907, 90.00013732910156, -0.1323280781507492, -0.1611327975988388]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.154852700,0.1291329,False,False
False,False,1745495415165779300," [-513.8343505859375, 160.659423828125, 0.30553197860717773, 90.00013732910156, -0.1326012909412384, -0.1609801948070526]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.165779300,0.1400595,False,False
False,False,1745495415176706100," [-513.8343505859375, 160.659423828125, 0.30553197860717773, 90.00013732910156, -0.1326012909412384, -0.1609801948070526]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.176706100,0.1509863,False,False
False,False,1745495415187632600," [-513.8343505859375, 160.659423828125, 0.3054933547973633, 90.00013732910156, -0.13284717500209808, -0.1608581393957138]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.187632600,0.1619128,False,False
False,False,1745495415198559300," [-513.8343505859375, 160.659423828125, 0.3054666519165039, 90.00013732910156, -0.1331135481595993, -0.1607360541820526]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.198559300,0.1728395,False,False
False,False,1745495415198559300," [-513.8343505859375, 160.659423828125, 0.3054666519165039, 90.00013732910156, -0.1331135481595993, -0.1607360541820526]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.198559300,0.1728395,False,False
False,False,1745495415208989500," [-513.8343505859375, 160.659423828125, 0.3054386377334595, 90.00013732910156, -0.13335943222045898, -0.1606139838695526]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.208989500,0.1832697,False,False
False,False,1745495415220413200," [-513.8343505859375, 160.659423828125, 0.30541691184043884, 90.00013732910156, -0.13357800245285034, -0.1605224609375]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.220413200,0.1946934,False,False
False,False,1745495415231339300," [-513.8343505859375, 160.659423828125, 0.30541691184043884, 90.00013732910156, -0.13357800245285034, -0.1605224609375]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.231339300,0.2056195,False,False
False,False,1745495415242266200," [-513.8343505859375, 160.659423828125, 0.30541691184043884, 90.00013732910156, -0.13357800245285034, -0.1605224609375]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.242266200,0.2165464,False,False
False,False,1745495415253689300," [-513.8343505859375, 160.659423828125, 0.3053922653198242, 90.00013732910156, -0.13378290832042694, -0.160430908203125]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.253689300,0.2279695,False,False
False,False,1745495415264119100," [-513.8343505859375, 160.659423828125, 0.3053774833679199, 90.00013732910156, -0.13399463891983032, -0.16033935546875]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.264119100,0.2383993,False,False
False,False,1745495415275046100," [-513.8343505859375, 160.659423828125, 0.3053774833679199, 90.00013732910156, -0.13399463891983032, -0.16033935546875]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.275046100,0.2493263,False,False
False,False,1745495415286469500," [-513.8343505859375, 160.659423828125, 0.30535975098609924, 90.00013732910156, -0.13422003388404846, -0.1602783203125]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.286469500,0.2607497,False,False
False,False,1745495415296899100," [-513.8343505859375, 160.659423828125, 0.30534952878952026, 90.00013732910156, -0.1343771368265152, -0.1602173000574112]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.296899100,0.2711793,False,False
False,False,1745495415307329400," [-513.8343505859375, 160.659423828125, 0.30534952878952026, 90.00013732910156, -0.1343771368265152, -0.1602173000574112]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.307329400,0.2816096,False,False
False,False,1745495415318255700," [-513.8343505859375, 160.659423828125, 0.30533695220947266, 90.00013732910156, -0.13452057540416718, -0.1601562649011612]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.318255700,0.2925359,False,False
False,False,1745495415329182700," [-513.8343505859375, 160.659423828125, 0.30533695220947266, 90.00013732910156, -0.13452057540416718, -0.1601562649011612]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.329182700,0.3034629,False,False
False,False,1745495415340109500," [-513.8343505859375, 160.659423828125, 0.30532675981521606, 90.00016021728516, -0.13467083871364594, -0.1600952297449112]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.340109500,0.3143897,False,False
False,False,1745495415350539500," [-513.8343505859375, 160.659423828125, 0.30531826615333557, 90.00016021728516, -0.13479377329349518, -0.1600647121667862]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.350539500,0.3248197,False,False
False,False,1745495415361466100," [-513.8343505859375, 160.659423828125, 0.30531826615333557, 90.00016021728516, -0.13479377329349518, -0.1600647121667862]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.361466100,0.3357463,False,False
False,False,1745495415371895700," [-513.8343505859375, 160.659423828125, 0.30531254410743713, 90.0001449584961, -0.13491672277450562, -0.1600341647863388]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.371895700,0.3461759,False,False
False,False,1745495415382822500," [-513.8343505859375, 160.659423828125, 0.3053094148635864, 90.0001449584961, -0.13491672277450562, -0.1600341647863388]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.382822500,0.3571027,False,False
False,False,1745495415394245900," [-513.8343505859375, 160.659423828125, 0.3053094148635864, 90.0001449584961, -0.13491672277450562, -0.1600341647863388]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.394245900,0.3685261,False,False
False,False,1745495415405172400," [-513.8343505859375, 160.659423828125, 0.3053070604801178, 90.00013732910156, -0.13510796427726746, -0.1599731296300888]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.405172400,0.3794526,False,False
False,False,1745495415416099300," [-513.8343505859375, 160.659423828125, 0.30530422925949097, 90.00013732910156, -0.13510796427726746, -0.1599731296300888]"," [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]",,,2025-04-24 11:50:15.416099300,0.3903795,False,False
