Hardware Manager.inputs.Keyboard_1.inform,Hardware Manager.inputs.Keyboard_1.intervene,Carla Interface.time,Carla Interface.agents.My Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_1.transform,Carla Interface.agents.Ego Vehicle_2.transform,Carla Interface.agents.Ego Vehicle_3.transform,time,rel_time,inform_clean,intervene_clean
False,False,1745930964975940000," [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:24.975940000,0.0,False,False
False,False,1745930965610679000," [-513.83447265625, 160.6594696044922, 0.30585041642189026, 90.00021362304688, -0.13278570771217346, -0.1612548679113388]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:25.610679000,0.634739,False,False
False,False,1745930965622101800," [-513.83447265625, 160.6594696044922, 0.30585041642189026, 90.00021362304688, -0.13278570771217346, -0.1612548679113388]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:25.622101800,0.6461618,False,False
False,False,1745930965632532000," [-513.83447265625, 160.6594696044922, 0.3057875633239746, 90.00021362304688, -0.13278570771217346, -0.1612548679113388]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:25.632532000,0.656592,False,False
False,False,1745930965643459000," [-513.83447265625, 160.6594696044922, 0.3057875633239746, 90.00021362304688, -0.13278570771217346, -0.1612548679113388]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:25.643459000,0.667519,False,False
False,False,1745930965654385300," [-513.83447265625, 160.6594696044922, 0.3057384490966797, 90.00021362304688, -0.13293597102165222, -0.1611022800207138]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:25.654385300,0.6784453,False,False
False,False,1745930965664815100," [-513.83447265625, 160.6594696044922, 0.3057384490966797, 90.00021362304688, -0.13293597102165222, -0.1611022800207138]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:25.664815100,0.6888751,False,False
False,False,1745930965675245100," [-513.83447265625, 160.6594696044922, 0.3056790828704834, 90.00021362304688, -0.133079394698143, -0.1609801948070526]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:25.675245100,0.6993051,False,False
False,False,1745930965686172000," [-513.83447265625, 160.6594696044922, 0.3056345582008362, 90.00021362304688, -0.13320234417915344, -0.1608886569738388]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:25.686172000,0.710232,False,False
False,False,1745930965696603800," [-513.83447265625, 160.6594696044922, 0.3056345582008362, 90.00021362304688, -0.13320234417915344, -0.1608886569738388]"," [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]",,,2025-04-29 12:49:25.696603800,0.7206638,False,False
