ResponseId,age,gender,driving_experience,av_experience,comfort_with_automation,trust_score,rank_1,rank_2,rank_3,why_ranked,trust_explanation,control_buttons,final_feedback
R_2M3WhnmOq2Cvbtw,23,0,4,0,5,4.583333333333333,3,1,2,"The addition of buttons gave the idea that the car was not safe by itself. Adding explanations made it more understandable why the car behaved like it did, making it more comfortable. ",The explanations gave me more trust and made the use of buttons more easy.,"In the beginning it didnt feel intuitive because you are used to brake and accelerate, but with the explanation and in the context of a self driving car it worked well. ",I wouldn't say it was comfortable. You still need to pay a lot of attention.
R_8oVYNNWnilnz6jD,26,0,5,0,6,5.916666666666667,1,2,3,"Having no explanations and no buttons felt like I was simply a passenger with no impact on the outcome of the driving experience. The buttons in trial 2 gave a sense of control over the vehicles actions but it was still unclear what the vehicle was doing and why. In the third trial it felt the most comfortable since I also had input as to why we are stopping/slowing down, and at the same time I could influence these decisions.",It gave me insight into the vehicles decisions and I wasn't surprised by any abrupt alterations in the driving.,They felt responsive and gave me enough control over the vehicle's decisions.,"It felt reassuring and the car was driving competently, it didn't feel unsafe at any point."
R_2yrVGJW615AnaKH,31,0,4,1,6,4.083333333333333,1,2,3,The button helps me to feel that I still have a control over the autonomous vehicles. The explanations help me to understand or expect what will happen in the few seconds ahead.,"Explanations help me to understand the thinking process of the vehicle; thus, I know what I will expect (e.g. slowing down or stop)",It helps me to give a control when needed. It is similar to the brake/acceleration pedal.,Maybe you can add indication if the vehicle wants to turn left or right. It helps to to know which side of the road I need to look at.
R_8mCywcisFRmzNhn,29,0,5,0,6,5.0,1,2,3,"Buttons give a bit more control, explanations let me know the intend beforehand",Help me prepare for car's next move,Gave me more control,"Never been to autonomous vihacle before, felt a bit unsure"
R_8otD3pW4QGhboRP,24,0,5,1,4,5.25,1,2,3,Having some control over the actions gives me some confidence in case I disagree with the decisions of the autonomous system. Having the explanations of what the car does also provides an extra reassurance since I do not have to guess what the car is planning to do or react,it increased my awareness regarding the car's decision making but it did not make me trust it much more.,Intuitive but I could use some more time getting used to the right Ctrl button.,Some rapid movements of the wheel lead me to slow down the car. Maybe some more incidents or cases in the town would be interesting to see.
R_8jUF8bOHNCzhyTf,22,0,4,1,7,5.166666666666667,1,2,3,"It s nice ti get action verification so that i dont have to think if the car is trying to stop or not. And manuak overwrite is always good, gives the more confidence in the experience",It helped me decide if i should take any manual actions or not,hard to understand at first but gets easier through time and practise,I would love to see some more complex scenarios to test the trust to the limit 
R_8Tpo8BoSqiIjEAW,22,0,1,1,4,3.1666666666666665,1,2,3,having an explanation makes it easier to predict the car movements and take the necessary actions to prevent accidents. Not having any input in the car driving feels dangerous and stressful,"Helped me understand the intentions of the car, however it is annoying having to read what the car is doing while doing it, since i might start reading a bit late.",easy to understand but took some time to get used to,Fun driving experience
R_8qUn1XcGiE5OEDz,22,0,4,1,2,4.416666666666667,2,1,3,"I feel more stressed when i have control but no explanations, because I feel like I HAVE to intervene. No control and explanations therefore feels safer. Having control and explanations make me feel the safest, because I don't feel pressured to intervene, but I can if I want to.","They made me feel safer, and like I am more connected with the vehicle.","The multiple functions made them confusing to use, but it was nice to have some form of control.","The car moves a bit erratically when cornering, and gets quite close to obstacles."
R_3IYIgKYfadiSTk2,27,1,2,1,6,5.416666666666667,2,1,3,when no buttons I feel easy and relax because the vehicle will probably do everything for me. when I have a button and explanation I will more in control of everything.,It increase transparent communication,No very controllable because it is not familiar to me,slow down too much
R_8DGcmBS6CF7Tyud,34,0,3,0,4,4.083333333333333,1,2,3,I had more control and that gave me please of mind,"By adding audio it enhance the senses used, creating a more holistic experience",Confortrable,Still needs a bit of work to run more smoothly but is a nice overall driving stimulation
