Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
False; False; 0; [29.854564666748047, -173.7592010498047, 0.5021320581436157, -179.99966430664062, -0.13440445065498352, -0.1612853705883026]; [260.3703918457031, -258.54229736328125, 0.007277526892721653, -90.0023193359375, 0.2394869029521942, -0.010742194019258022]; [199.29974365234375, -255.72618103027344, 0.03975894674658775, 89.98768615722656, 0.016781773418188095, -0.01364135928452015]; [214.0457000732422, -168.7615203857422, 0.18403002619743347, 7.481079956050962e-05, 0.0030804150737822056, -0.00201416015625]
