Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854537963867188, -173.75914001464844, 0.5021083950996399, -179.99966430664062, -0.13378290832042694, -0.1615600287914276]; [260.3703308105469, -258.5423278808594, 0.007271842565387487, -90.00238037109375, 0.24019725620746613, -0.01150514092296362]; [199.29981994628906, -255.72610473632812, 0.03978147357702255, 89.99689483642578, 0.016897886991500854, -0.013671874068677425]; [214.045654296875, -168.7616729736328, 0.18417082726955414, 0.00010448857938172296, 0.0032989811152219772, -0.0020751950796693563]
False; False; 0; [29.854537963867188, -173.75914001464844, 0.5021083950996399, -179.99966430664062, -0.13378290832042694, -0.1615600287914276]; [260.3703308105469, -258.5423278808594, 0.007271842565387487, -90.00238037109375, 0.24019725620746613, -0.01150514092296362]; [199.29981994628906, -255.72610473632812, 0.03978147357702255, 89.99689483642578, 0.016897886991500854, -0.013671874068677425]; [214.045654296875, -168.7616729736328, 0.18417082726955414, 0.00010448857938172296, 0.0032989811152219772, -0.0020751950796693563]
False; False; 0; [29.854537963867188, -173.75914001464844, 0.5021083950996399, -179.99966430664062, -0.13378290832042694, -0.1615600287914276]; [260.3703308105469, -258.5423278808594, 0.007271842565387487, -90.00238037109375, 0.24019725620746613, -0.01150514092296362]; [199.29981994628906, -255.72610473632812, 0.03978147357702255, 89.99689483642578, 0.016897886991500854, -0.013671874068677425]; [214.045654296875, -168.7616729736328, 0.18417082726955414, 0.00010448857938172296, 0.0032989811152219772, -0.0020751950796693563]
False; False; 0; [29.854537963867188, -173.75914001464844, 0.5021083950996399, -179.99966430664062, -0.13378290832042694, -0.1615600287914276]; [260.3703308105469, -258.5423278808594, 0.007271842565387487, -90.00238037109375, 0.24019725620746613, -0.01150514092296362]; [199.29981994628906, -255.72610473632812, 0.03978147357702255, 89.99689483642578, 0.016897886991500854, -0.013671874068677425]; [214.045654296875, -168.7616729736328, 0.18417082726955414, 0.00010448857938172296, 0.0032989811152219772, -0.0020751950796693563]
False; False; 0; [29.854537963867188, -173.75914001464844, 0.5021083950996399, -179.99966430664062, -0.13378290832042694, -0.1615600287914276]; [260.3703308105469, -258.5423278808594, 0.007271842565387487, -90.00238037109375, 0.24019725620746613, -0.01150514092296362]; [199.29981994628906, -255.72610473632812, 0.03978147357702255, 89.99689483642578, 0.016897886991500854, -0.013671874068677425]; [214.045654296875, -168.7616729736328, 0.18417082726955414, 0.00010448857938172296, 0.0032989811152219772, -0.0020751950796693563]
False; False; 0; [29.854537963867188, -173.75914001464844, 0.5021083950996399, -179.99966430664062, -0.13378290832042694, -0.1615600287914276]; [260.3703308105469, -258.5423278808594, 0.007271842565387487, -90.00238037109375, 0.24019725620746613, -0.01150514092296362]; [199.29981994628906, -255.72610473632812, 0.03978147357702255, 89.99689483642578, 0.016897886991500854, -0.013671874068677425]; [214.045654296875, -168.7616729736328, 0.18417082726955414, 0.00010448857938172296, 0.0032989811152219772, -0.0020751950796693563]
False; False; 0; [29.854537963867188, -173.75914001464844, 0.5021083950996399, -179.99966430664062, -0.13378290832042694, -0.1615600287914276]; [260.3703308105469, -258.5423278808594, 0.007271842565387487, -90.00238037109375, 0.24019725620746613, -0.01150514092296362]; [199.29981994628906, -255.72610473632812, 0.03978147357702255, 89.99689483642578, 0.016897886991500854, -0.013671874068677425]; [214.045654296875, -168.7616729736328, 0.18417082726955414, 0.00010448857938172296, 0.0032989811152219772, -0.0020751950796693563]
False; False; 0; [29.854537963867188, -173.75914001464844, 0.5021083950996399, -179.99966430664062, -0.13378290832042694, -0.1615600287914276]; [260.3703308105469, -258.5423278808594, 0.007271842565387487, -90.00238037109375, 0.24019725620746613, -0.01150514092296362]; [199.29981994628906, -255.72610473632812, 0.03978147357702255, 89.99689483642578, 0.016897886991500854, -0.013671874068677425]; [214.045654296875, -168.7616729736328, 0.18417082726955414, 0.00010448857938172296, 0.0032989811152219772, -0.0020751950796693563]
False; False; 0; [29.854537963867188, -173.75914001464844, 0.5021083950996399, -179.99966430664062, -0.13378290832042694, -0.1615600287914276]; [260.3703308105469, -258.5423278808594, 0.007271842565387487, -90.00238037109375, 0.24019725620746613, -0.01150514092296362]; [199.29981994628906, -255.72610473632812, 0.03978147357702255, 89.99689483642578, 0.016897886991500854, -0.013671874068677425]; [214.045654296875, -168.7616729736328, 0.18417082726955414, 0.00010448857938172296, 0.0032989811152219772, -0.0020751950796693563]
