Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
False; False; 0; [-513.8351440429688, 160.6595458984375, 0.30613040924072266, 90.00019836425781, -0.12790212035179138, -0.1586609035730362]; [237.9476776123047, -119.03083038330078, 0.007428188342601061, -0.0007019042386673391, 0.23777936398983002, -0.008270263671875]
