Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 0; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 1745593266140386000; [29.854543685913086, -173.75929260253906, 0.5017644166946411, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 1745593266376799100; [29.854543685913086, -173.75929260253906, 0.5016896724700928, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 1745593266387725400; [29.854543685913086, -173.75929260253906, 0.5016896724700928, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 1745593266398652300; [29.854543685913086, -173.75929260253906, 0.5016056299209595, -179.9996337890625, -0.13402879238128662, -0.160552978515625]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 1745593266409082400; [29.854543685913086, -173.75929260253906, 0.5015419721603394, -179.9996337890625, -0.13412441313266754, -0.1604309231042862]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 1745593266420008900; [29.854543685913086, -173.75929260253906, 0.5015419721603394, -179.9996337890625, -0.13412441313266754, -0.1604309231042862]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 1745593266430439200; [29.854543685913086, -173.75929260253906, 0.5014950633049011, -179.9996337890625, -0.13412441313266754, -0.1604309231042862]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
False; False; 1745593266441365600; [29.854543685913086, -173.75929260253906, 0.5014950633049011, -179.9996337890625, -0.13412441313266754, -0.1604309231042862]; [260.3760070800781, -258.7044677734375, 0.006502799689769745, -90.01839447021484, 0.24301812052726746, -3.052267857128754e-05]; [199.2997589111328, -255.7263641357422, 0.03975477069616318, 89.9938735961914, 0.016549548134207726, -0.01388549618422985]; [214.04579162597656, -168.76116943359375, 0.18770873546600342, 0.00011935863585676998, 0.0006966792279854417, -6.103515261202119e-05]
