Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854562759399414, -173.75927734375, 0.5018261075019836, -179.9994659423828, -0.1343771368265152, -0.1605224460363388]; [260.3703918457031, -258.5422058105469, 0.007316875271499157, -90.00179290771484, 0.23912490904331207, -0.010131833143532276]; [199.2997283935547, -255.72621154785156, 0.03986595198512077, 89.99665832519531, 0.017348678782582283, -0.01361083984375]; [214.0457000732422, -168.76133728027344, 0.1840486079454422, 7.857351192797069e-06, 0.0016597359208390117, -0.0012207030085846782]
False; False; 0; [29.854562759399414, -173.75927734375, 0.5018261075019836, -179.9994659423828, -0.1343771368265152, -0.1605224460363388]; [260.3703918457031, -258.5422058105469, 0.007316875271499157, -90.00179290771484, 0.23912490904331207, -0.010131833143532276]; [199.2997283935547, -255.72621154785156, 0.03986595198512077, 89.99665832519531, 0.017348678782582283, -0.01361083984375]; [214.0457000732422, -168.76133728027344, 0.1840486079454422, 7.857351192797069e-06, 0.0016597359208390117, -0.0012207030085846782]
False; False; 0; [29.854562759399414, -173.75927734375, 0.5018261075019836, -179.9994659423828, -0.1343771368265152, -0.1605224460363388]; [260.3703918457031, -258.5422058105469, 0.007316875271499157, -90.00179290771484, 0.23912490904331207, -0.010131833143532276]; [199.2997283935547, -255.72621154785156, 0.03986595198512077, 89.99665832519531, 0.017348678782582283, -0.01361083984375]; [214.0457000732422, -168.76133728027344, 0.1840486079454422, 7.857351192797069e-06, 0.0016597359208390117, -0.0012207030085846782]
False; False; 0; [29.854562759399414, -173.75927734375, 0.5018261075019836, -179.9994659423828, -0.1343771368265152, -0.1605224460363388]; [260.3703918457031, -258.5422058105469, 0.007316875271499157, -90.00179290771484, 0.23912490904331207, -0.010131833143532276]; [199.2997283935547, -255.72621154785156, 0.03986595198512077, 89.99665832519531, 0.017348678782582283, -0.01361083984375]; [214.0457000732422, -168.76133728027344, 0.1840486079454422, 7.857351192797069e-06, 0.0016597359208390117, -0.0012207030085846782]
False; False; 0; [29.854562759399414, -173.75927734375, 0.5018261075019836, -179.9994659423828, -0.1343771368265152, -0.1605224460363388]; [260.3703918457031, -258.5422058105469, 0.007316875271499157, -90.00179290771484, 0.23912490904331207, -0.010131833143532276]; [199.2997283935547, -255.72621154785156, 0.03986595198512077, 89.99665832519531, 0.017348678782582283, -0.01361083984375]; [214.0457000732422, -168.76133728027344, 0.1840486079454422, 7.857351192797069e-06, 0.0016597359208390117, -0.0012207030085846782]
False; False; 0; [29.854562759399414, -173.75927734375, 0.5018261075019836, -179.9994659423828, -0.1343771368265152, -0.1605224460363388]; [260.3703918457031, -258.5422058105469, 0.007316875271499157, -90.00179290771484, 0.23912490904331207, -0.010131833143532276]; [199.2997283935547, -255.72621154785156, 0.03986595198512077, 89.99665832519531, 0.017348678782582283, -0.01361083984375]; [214.0457000732422, -168.76133728027344, 0.1840486079454422, 7.857351192797069e-06, 0.0016597359208390117, -0.0012207030085846782]
False; False; 0; [29.854562759399414, -173.75927734375, 0.5018261075019836, -179.9994659423828, -0.1343771368265152, -0.1605224460363388]; [260.3703918457031, -258.5422058105469, 0.007316875271499157, -90.00179290771484, 0.23912490904331207, -0.010131833143532276]; [199.2997283935547, -255.72621154785156, 0.03986595198512077, 89.99665832519531, 0.017348678782582283, -0.01361083984375]; [214.0457000732422, -168.76133728027344, 0.1840486079454422, 7.857351192797069e-06, 0.0016597359208390117, -0.0012207030085846782]
False; False; 0; [29.854562759399414, -173.75927734375, 0.5018261075019836, -179.9994659423828, -0.1343771368265152, -0.1605224460363388]; [260.3703918457031, -258.5422058105469, 0.007316875271499157, -90.00179290771484, 0.23912490904331207, -0.010131833143532276]; [199.2997283935547, -255.72621154785156, 0.03986595198512077, 89.99665832519531, 0.017348678782582283, -0.01361083984375]; [214.0457000732422, -168.76133728027344, 0.1840486079454422, 7.857351192797069e-06, 0.0016597359208390117, -0.0012207030085846782]
False; False; 0; [29.854562759399414, -173.75927734375, 0.5018261075019836, -179.9994659423828, -0.1343771368265152, -0.1605224460363388]; [260.3703918457031, -258.5422058105469, 0.007316875271499157, -90.00179290771484, 0.23912490904331207, -0.010131833143532276]; [199.2997283935547, -255.72621154785156, 0.03986595198512077, 89.99665832519531, 0.017348678782582283, -0.01361083984375]; [214.0457000732422, -168.76133728027344, 0.1840486079454422, 7.857351192797069e-06, 0.0016597359208390117, -0.0012207030085846782]
