Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
False; False; 0; [29.854536056518555, -173.7590789794922, 0.5020570755004883, -179.99966430664062, -0.13366679847240448, -0.1614379733800888]; [260.3705139160156, -258.5422668457031, 0.007253455929458141, -90.00257873535156, 0.240108460187912, -0.011627191677689552]; [199.2998046875, -255.7263641357422, 0.03973768278956413, 89.99253845214844, 0.016426604241132736, -0.013824462890625]; [214.04550170898438, -168.76161193847656, 0.18704451620578766, -3.0517576306010596e-05, 4.0981132769957185e-05, 0.0]
