Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]; [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]; [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]; [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]; [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]; [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]; [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]; [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]; [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.30613061785697937, 90.00035095214844, -0.13012875616550446, -0.1629028022289276]; [238.08824157714844, -119.02668762207031, 0.006542358081787825, -0.011535643599927425, 0.24148815870285034, 0.0]
