Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
False; False; 0; [29.85457420349121, -173.75917053222656, 0.5021237134933472, -179.99966430664062, -0.13412441313266754, -0.1614074409008026]; [260.37042236328125, -258.542236328125, 0.0072531127370893955, -90.00337982177734, 0.2408871054649353, -0.01254271250218153]; [199.29981994628906, -255.7263641357422, 0.03944385424256325, 89.99398803710938, 0.015968982130289078, -0.013183594681322575]; [214.0458221435547, -168.76242065429688, 0.18372641503810883, 0.00021151179680600762, 0.004787962418049574, -0.0030822751577943563]
