Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]; [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]
False; False; 0; [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]; [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]
False; False; 0; [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]; [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]
False; False; 0; [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]; [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]
False; False; 0; [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]; [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]
False; False; 0; [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]; [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]
False; False; 0; [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]; [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]
False; False; 0; [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]; [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]
False; False; 0; [-513.8350830078125, 160.6595001220703, 0.30590173602104187, 90.00013732910156, -0.12860561907291412, -0.15911860764026642]; [237.9993896484375, -119.03147888183594, 0.0065451618283987045, -0.0352477990090847, 0.23573030531406403, 4.848894968745299e-05]
