Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 0; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 1746111260908851000; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 1746111260919851400; [29.854520797729492, -173.75880432128906, 0.5015769600868225, -179.99996948242188, -0.11553947627544403, -0.1612853705883026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 1746111260930351200; [29.854520797729492, -173.75880432128906, 0.5014920234680176, -179.99998474121094, -0.11612004041671753, -0.1611633002758026]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
False; False; 1746111260941351000; [29.854520797729492, -173.75880432128906, 0.501437783241272, -179.99996948242188, -0.11664596199989319, -0.1611022651195526]; [260.3702697753906, -258.54217529296875, 0.007373390253633261, -90.00067138671875, 0.23564834892749786, -0.00582888163626194]; [199.29969787597656, -255.72616577148438, 0.03965865820646286, 89.99209594726562, 0.016863735392689705, -0.013244629837572575]; [214.04576110839844, -168.76235961914062, 0.18380045890808105, 0.0002169737417716533, 0.005020188633352518, -0.0030212400015443563]
