Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854509353637695, -173.75889587402344, 0.5014362931251526, -179.99989318847656, -0.1180393248796463, -0.1606139987707138]; [260.3698425292969, -258.60003662109375, 0.006497879046946764, -90.05620574951172, 0.23544344305992126, 5.073325883131474e-05]; [199.29954528808594, -255.72634887695312, 0.03953128680586815, 89.99578094482422, 0.017567245289683342, -0.012664793990552425]; [214.0458221435547, -168.76217651367188, 0.18395541608333588, 0.00017474801279604435, 0.004507924430072308, -0.0026855466421693563]
False; False; 0; [29.854509353637695, -173.75889587402344, 0.5014362931251526, -179.99989318847656, -0.1180393248796463, -0.1606139987707138]; [260.3698425292969, -258.60003662109375, 0.006497879046946764, -90.05620574951172, 0.23544344305992126, 5.073325883131474e-05]; [199.29954528808594, -255.72634887695312, 0.03953128680586815, 89.99578094482422, 0.017567245289683342, -0.012664793990552425]; [214.0458221435547, -168.76217651367188, 0.18395541608333588, 0.00017474801279604435, 0.004507924430072308, -0.0026855466421693563]
False; False; 0; [29.854509353637695, -173.75889587402344, 0.5014362931251526, -179.99989318847656, -0.1180393248796463, -0.1606139987707138]; [260.3698425292969, -258.60003662109375, 0.006497879046946764, -90.05620574951172, 0.23544344305992126, 5.073325883131474e-05]; [199.29954528808594, -255.72634887695312, 0.03953128680586815, 89.99578094482422, 0.017567245289683342, -0.012664793990552425]; [214.0458221435547, -168.76217651367188, 0.18395541608333588, 0.00017474801279604435, 0.004507924430072308, -0.0026855466421693563]
False; False; 0; [29.854509353637695, -173.75889587402344, 0.5014362931251526, -179.99989318847656, -0.1180393248796463, -0.1606139987707138]; [260.3698425292969, -258.60003662109375, 0.006497879046946764, -90.05620574951172, 0.23544344305992126, 5.073325883131474e-05]; [199.29954528808594, -255.72634887695312, 0.03953128680586815, 89.99578094482422, 0.017567245289683342, -0.012664793990552425]; [214.0458221435547, -168.76217651367188, 0.18395541608333588, 0.00017474801279604435, 0.004507924430072308, -0.0026855466421693563]
False; False; 0; [29.854509353637695, -173.75889587402344, 0.5014362931251526, -179.99989318847656, -0.1180393248796463, -0.1606139987707138]; [260.3698425292969, -258.60003662109375, 0.006497879046946764, -90.05620574951172, 0.23544344305992126, 5.073325883131474e-05]; [199.29954528808594, -255.72634887695312, 0.03953128680586815, 89.99578094482422, 0.017567245289683342, -0.012664793990552425]; [214.0458221435547, -168.76217651367188, 0.18395541608333588, 0.00017474801279604435, 0.004507924430072308, -0.0026855466421693563]
False; False; 0; [29.854509353637695, -173.75889587402344, 0.5014362931251526, -179.99989318847656, -0.1180393248796463, -0.1606139987707138]; [260.3698425292969, -258.60003662109375, 0.006497879046946764, -90.05620574951172, 0.23544344305992126, 5.073325883131474e-05]; [199.29954528808594, -255.72634887695312, 0.03953128680586815, 89.99578094482422, 0.017567245289683342, -0.012664793990552425]; [214.0458221435547, -168.76217651367188, 0.18395541608333588, 0.00017474801279604435, 0.004507924430072308, -0.0026855466421693563]
False; False; 0; [29.854509353637695, -173.75889587402344, 0.5014362931251526, -179.99989318847656, -0.1180393248796463, -0.1606139987707138]; [260.3698425292969, -258.60003662109375, 0.006497879046946764, -90.05620574951172, 0.23544344305992126, 5.073325883131474e-05]; [199.29954528808594, -255.72634887695312, 0.03953128680586815, 89.99578094482422, 0.017567245289683342, -0.012664793990552425]; [214.0458221435547, -168.76217651367188, 0.18395541608333588, 0.00017474801279604435, 0.004507924430072308, -0.0026855466421693563]
False; False; 0; [29.854509353637695, -173.75889587402344, 0.5014362931251526, -179.99989318847656, -0.1180393248796463, -0.1606139987707138]; [260.3698425292969, -258.60003662109375, 0.006497879046946764, -90.05620574951172, 0.23544344305992126, 5.073325883131474e-05]; [199.29954528808594, -255.72634887695312, 0.03953128680586815, 89.99578094482422, 0.017567245289683342, -0.012664793990552425]; [214.0458221435547, -168.76217651367188, 0.18395541608333588, 0.00017474801279604435, 0.004507924430072308, -0.0026855466421693563]
False; False; 0; [29.854509353637695, -173.75889587402344, 0.5014362931251526, -179.99989318847656, -0.1180393248796463, -0.1606139987707138]; [260.3698425292969, -258.60003662109375, 0.006497879046946764, -90.05620574951172, 0.23544344305992126, 5.073325883131474e-05]; [199.29954528808594, -255.72634887695312, 0.03953128680586815, 89.99578094482422, 0.017567245289683342, -0.012664793990552425]; [214.0458221435547, -168.76217651367188, 0.18395541608333588, 0.00017474801279604435, 0.004507924430072308, -0.0026855466421693563]
