Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217011547000; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217615990700; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217626421000; [-513.8344116210938, 160.6593780517578, 0.30619874596595764, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217636851300; [-513.8344116210938, 160.6593780517578, 0.30614519119262695, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217647280700; [-513.8344116210938, 160.6593780517578, 0.30614519119262695, 90.00013732910156, -0.1299101859331131, -0.16384883224964142]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217658208800; [-513.8344116210938, 160.6593780517578, 0.306098997592926, 90.00013732910156, -0.13006728887557983, -0.1636352390050888]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217669137800; [-513.8344116210938, 160.6593780517578, 0.3060464859008789, 90.00013732910156, -0.13024486601352692, -0.1634216010570526]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217679564400; [-513.8344116210938, 160.6593780517578, 0.3060464859008789, 90.00013732910156, -0.13024486601352692, -0.1634216010570526]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217689998500; [-513.8344116210938, 160.6593780517578, 0.30598416924476624, 90.00013732910156, -0.13046343624591827, -0.1631774753332138]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217700811200; [-513.8344116210938, 160.6593780517578, 0.30593404173851013, 90.00013732910156, -0.13067516684532166, -0.1629333198070526]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217711350800; [-513.8344116210938, 160.6593780517578, 0.3058784008026123, 90.00013732910156, -0.13094837963581085, -0.1626891940832138]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217722277500; [-513.8344116210938, 160.6593780517578, 0.3058784008026123, 90.00013732910156, -0.13094837963581085, -0.1626891940832138]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217733700900; [-513.8344116210938, 160.6593780517578, 0.30583110451698303, 90.00013732910156, -0.13122841715812683, -0.1624450534582138]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217744631800; [-513.8344116210938, 160.6593780517578, 0.3057851195335388, 90.00013732910156, -0.13150162994861603, -0.16223140060901642]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217755554700; [-513.8344116210938, 160.65939331054688, 0.3057389557361603, 90.00013732910156, -0.13177482783794403, -0.16198725998401642]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217766480800; [-513.8344116210938, 160.65939331054688, 0.3057389557361603, 90.00013732910156, -0.13177482783794403, -0.16198725998401642]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217777407500; [-513.8344116210938, 160.65939331054688, 0.3056968152523041, 90.00013732910156, -0.13204804062843323, -0.1617736518383026]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217788334000; [-513.8344116210938, 160.65939331054688, 0.30565518140792847, 90.00013732910156, -0.1323280781507492, -0.1615905612707138]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217799260900; [-513.8344116210938, 160.65939331054688, 0.30561724305152893, 90.00013732910156, -0.1326012909412384, -0.1613769233226776]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217809690800; [-513.8344116210938, 160.65939331054688, 0.30561724305152893, 90.00013732910156, -0.1326012909412384, -0.1613769233226776]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217821117000; [-513.8344116210938, 160.65939331054688, 0.3055803179740906, 90.00013732910156, -0.1328744888305664, -0.1612243801355362]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217832042500; [-513.8344116210938, 160.65939331054688, 0.3055481016635895, 90.00013732910156, -0.1331135481595993, -0.16107177734375]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217842470900; [-513.8344116210938, 160.65939331054688, 0.3055219054222107, 90.00013732910156, -0.13335943222045898, -0.1609191745519638]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217842470900; [-513.8344116210938, 160.65939331054688, 0.3055219054222107, 90.00013732910156, -0.13335943222045898, -0.1609191745519638]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217863827500; [-513.8344116210938, 160.65939331054688, 0.3054923117160797, 90.00013732910156, -0.13357800245285034, -0.1607970893383026]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217863827500; [-513.8344116210938, 160.65939331054688, 0.305468887090683, 90.00013732910156, -0.13378290832042694, -0.1606750339269638]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217874756600; [-513.8344116210938, 160.65939331054688, 0.30545032024383545, 90.00013732910156, -0.13399463891983032, -0.1605834811925888]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217885680900; [-513.8344116210938, 160.65939331054688, 0.30545032024383545, 90.00013732910156, -0.13399463891983032, -0.1605834811925888]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217896111900; [-513.8344116210938, 160.65939331054688, 0.3054322302341461, 90.00013732910156, -0.13418589532375336, -0.1604919135570526]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217907040000; [-513.8344116210938, 160.65939331054688, 0.3054322302341461, 90.00013732910156, -0.13418589532375336, -0.1604919135570526]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217918461100; [-513.8344116210938, 160.65939331054688, 0.30541664361953735, 90.0001449584961, -0.1343429833650589, -0.160430908203125]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217929387600; [-513.8344116210938, 160.65939331054688, 0.30541664361953735, 90.0001449584961, -0.1343429833650589, -0.160430908203125]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
False; False; 1745852217940315200; [-513.8344116210938, 160.65939331054688, 0.30540117621421814, 90.0001449584961, -0.13452057540416718, -0.16033935546875]; [237.94769287109375, -119.03081512451172, 0.0073415180668234825, -0.0008850097074173391, 0.23739686608314514, -0.008300780318677425]
