Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854496002197266, -173.7587890625, 0.5015784502029419, -179.99993896484375, -0.11544384807348251, -0.1611327826976776]; [260.37567138671875, -258.7051696777344, 0.006496543530374765, -90.01654052734375, 0.24493056535720825, -3.052268220926635e-05]; [199.2998046875, -255.7261505126953, 0.039688147604465485, 89.99674987792969, 0.016802264377474785, -0.01348877139389515]; [214.04568481445312, -168.76136779785156, 0.18363822996616364, 4.768644430441782e-05, 0.0026637737173587084, -0.0019531248835846782]
False; False; 0; [29.854496002197266, -173.7587890625, 0.5015784502029419, -179.99993896484375, -0.11544384807348251, -0.1611327826976776]; [260.37567138671875, -258.7051696777344, 0.006496543530374765, -90.01654052734375, 0.24493056535720825, -3.052268220926635e-05]; [199.2998046875, -255.7261505126953, 0.039688147604465485, 89.99674987792969, 0.016802264377474785, -0.01348877139389515]; [214.04568481445312, -168.76136779785156, 0.18363822996616364, 4.768644430441782e-05, 0.0026637737173587084, -0.0019531248835846782]
False; False; 0; [29.854496002197266, -173.7587890625, 0.5015784502029419, -179.99993896484375, -0.11544384807348251, -0.1611327826976776]; [260.37567138671875, -258.7051696777344, 0.006496543530374765, -90.01654052734375, 0.24493056535720825, -3.052268220926635e-05]; [199.2998046875, -255.7261505126953, 0.039688147604465485, 89.99674987792969, 0.016802264377474785, -0.01348877139389515]; [214.04568481445312, -168.76136779785156, 0.18363822996616364, 4.768644430441782e-05, 0.0026637737173587084, -0.0019531248835846782]
False; False; 0; [29.854496002197266, -173.7587890625, 0.5015784502029419, -179.99993896484375, -0.11544384807348251, -0.1611327826976776]; [260.37567138671875, -258.7051696777344, 0.006496543530374765, -90.01654052734375, 0.24493056535720825, -3.052268220926635e-05]; [199.2998046875, -255.7261505126953, 0.039688147604465485, 89.99674987792969, 0.016802264377474785, -0.01348877139389515]; [214.04568481445312, -168.76136779785156, 0.18363822996616364, 4.768644430441782e-05, 0.0026637737173587084, -0.0019531248835846782]
False; False; 0; [29.854496002197266, -173.7587890625, 0.5015784502029419, -179.99993896484375, -0.11544384807348251, -0.1611327826976776]; [260.37567138671875, -258.7051696777344, 0.006496543530374765, -90.01654052734375, 0.24493056535720825, -3.052268220926635e-05]; [199.2998046875, -255.7261505126953, 0.039688147604465485, 89.99674987792969, 0.016802264377474785, -0.01348877139389515]; [214.04568481445312, -168.76136779785156, 0.18363822996616364, 4.768644430441782e-05, 0.0026637737173587084, -0.0019531248835846782]
False; False; 0; [29.854496002197266, -173.7587890625, 0.5015784502029419, -179.99993896484375, -0.11544384807348251, -0.1611327826976776]; [260.37567138671875, -258.7051696777344, 0.006496543530374765, -90.01654052734375, 0.24493056535720825, -3.052268220926635e-05]; [199.2998046875, -255.7261505126953, 0.039688147604465485, 89.99674987792969, 0.016802264377474785, -0.01348877139389515]; [214.04568481445312, -168.76136779785156, 0.18363822996616364, 4.768644430441782e-05, 0.0026637737173587084, -0.0019531248835846782]
False; False; 0; [29.854496002197266, -173.7587890625, 0.5015784502029419, -179.99993896484375, -0.11544384807348251, -0.1611327826976776]; [260.37567138671875, -258.7051696777344, 0.006496543530374765, -90.01654052734375, 0.24493056535720825, -3.052268220926635e-05]; [199.2998046875, -255.7261505126953, 0.039688147604465485, 89.99674987792969, 0.016802264377474785, -0.01348877139389515]; [214.04568481445312, -168.76136779785156, 0.18363822996616364, 4.768644430441782e-05, 0.0026637737173587084, -0.0019531248835846782]
False; False; 0; [29.854496002197266, -173.7587890625, 0.5015784502029419, -179.99993896484375, -0.11544384807348251, -0.1611327826976776]; [260.37567138671875, -258.7051696777344, 0.006496543530374765, -90.01654052734375, 0.24493056535720825, -3.052268220926635e-05]; [199.2998046875, -255.7261505126953, 0.039688147604465485, 89.99674987792969, 0.016802264377474785, -0.01348877139389515]; [214.04568481445312, -168.76136779785156, 0.18363822996616364, 4.768644430441782e-05, 0.0026637737173587084, -0.0019531248835846782]
False; False; 0; [29.854496002197266, -173.7587890625, 0.5015784502029419, -179.99993896484375, -0.11544384807348251, -0.1611327826976776]; [260.37567138671875, -258.7051696777344, 0.006496543530374765, -90.01654052734375, 0.24493056535720825, -3.052268220926635e-05]; [199.2998046875, -255.7261505126953, 0.039688147604465485, 89.99674987792969, 0.016802264377474785, -0.01348877139389515]; [214.04568481445312, -168.76136779785156, 0.18363822996616364, 4.768644430441782e-05, 0.0026637737173587084, -0.0019531248835846782]
