Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
False; False; 0; [-513.8350830078125, 160.65940856933594, 0.3059336543083191, 90.00017547607422, -0.12884467840194702, -0.1589965522289276]; [237.94772338867188, -119.03079986572266, 0.0073986053466796875, -0.000823974609375, 0.2382301539182663, -0.00909423828125]
