Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.85452651977539, -173.75917053222656, 0.5020595192909241, -179.9996795654297, -0.13342773914337158, -0.1614074558019638]; [260.3703308105469, -258.5422058105469, 0.007153110112994909, -90.00128936767578, 0.23593521118164062, -0.006530769634991884]; [199.2996826171875, -255.72622680664062, 0.03962951526045799, 89.99224090576172, 0.017068641260266304, -0.013153076171875]; [214.04554748535156, -168.76161193847656, 0.18425655364990234, -3.0517576306010596e-05, 0.0005122641450725496, -0.00039672848652116954]
False; False; 0; [29.85452651977539, -173.75917053222656, 0.5020595192909241, -179.9996795654297, -0.13342773914337158, -0.1614074558019638]; [260.3703308105469, -258.5422058105469, 0.007153110112994909, -90.00128936767578, 0.23593521118164062, -0.006530769634991884]; [199.2996826171875, -255.72622680664062, 0.03962951526045799, 89.99224090576172, 0.017068641260266304, -0.013153076171875]; [214.04554748535156, -168.76161193847656, 0.18425655364990234, -3.0517576306010596e-05, 0.0005122641450725496, -0.00039672848652116954]
False; False; 0; [29.85452651977539, -173.75917053222656, 0.5020595192909241, -179.9996795654297, -0.13342773914337158, -0.1614074558019638]; [260.3703308105469, -258.5422058105469, 0.007153110112994909, -90.00128936767578, 0.23593521118164062, -0.006530769634991884]; [199.2996826171875, -255.72622680664062, 0.03962951526045799, 89.99224090576172, 0.017068641260266304, -0.013153076171875]; [214.04554748535156, -168.76161193847656, 0.18425655364990234, -3.0517576306010596e-05, 0.0005122641450725496, -0.00039672848652116954]
False; False; 0; [29.85452651977539, -173.75917053222656, 0.5020595192909241, -179.9996795654297, -0.13342773914337158, -0.1614074558019638]; [260.3703308105469, -258.5422058105469, 0.007153110112994909, -90.00128936767578, 0.23593521118164062, -0.006530769634991884]; [199.2996826171875, -255.72622680664062, 0.03962951526045799, 89.99224090576172, 0.017068641260266304, -0.013153076171875]; [214.04554748535156, -168.76161193847656, 0.18425655364990234, -3.0517576306010596e-05, 0.0005122641450725496, -0.00039672848652116954]
False; False; 0; [29.85452651977539, -173.75917053222656, 0.5020595192909241, -179.9996795654297, -0.13342773914337158, -0.1614074558019638]; [260.3703308105469, -258.5422058105469, 0.007153110112994909, -90.00128936767578, 0.23593521118164062, -0.006530769634991884]; [199.2996826171875, -255.72622680664062, 0.03962951526045799, 89.99224090576172, 0.017068641260266304, -0.013153076171875]; [214.04554748535156, -168.76161193847656, 0.18425655364990234, -3.0517576306010596e-05, 0.0005122641450725496, -0.00039672848652116954]
False; False; 0; [29.85452651977539, -173.75917053222656, 0.5020595192909241, -179.9996795654297, -0.13342773914337158, -0.1614074558019638]; [260.3703308105469, -258.5422058105469, 0.007153110112994909, -90.00128936767578, 0.23593521118164062, -0.006530769634991884]; [199.2996826171875, -255.72622680664062, 0.03962951526045799, 89.99224090576172, 0.017068641260266304, -0.013153076171875]; [214.04554748535156, -168.76161193847656, 0.18425655364990234, -3.0517576306010596e-05, 0.0005122641450725496, -0.00039672848652116954]
False; False; 0; [29.85452651977539, -173.75917053222656, 0.5020595192909241, -179.9996795654297, -0.13342773914337158, -0.1614074558019638]; [260.3703308105469, -258.5422058105469, 0.007153110112994909, -90.00128936767578, 0.23593521118164062, -0.006530769634991884]; [199.2996826171875, -255.72622680664062, 0.03962951526045799, 89.99224090576172, 0.017068641260266304, -0.013153076171875]; [214.04554748535156, -168.76161193847656, 0.18425655364990234, -3.0517576306010596e-05, 0.0005122641450725496, -0.00039672848652116954]
False; False; 0; [29.85452651977539, -173.75917053222656, 0.5020595192909241, -179.9996795654297, -0.13342773914337158, -0.1614074558019638]; [260.3703308105469, -258.5422058105469, 0.007153110112994909, -90.00128936767578, 0.23593521118164062, -0.006530769634991884]; [199.2996826171875, -255.72622680664062, 0.03962951526045799, 89.99224090576172, 0.017068641260266304, -0.013153076171875]; [214.04554748535156, -168.76161193847656, 0.18425655364990234, -3.0517576306010596e-05, 0.0005122641450725496, -0.00039672848652116954]
False; False; 0; [29.85452651977539, -173.75917053222656, 0.5020595192909241, -179.9996795654297, -0.13342773914337158, -0.1614074558019638]; [260.3703308105469, -258.5422058105469, 0.007153110112994909, -90.00128936767578, 0.23593521118164062, -0.006530769634991884]; [199.2996826171875, -255.72622680664062, 0.03962951526045799, 89.99224090576172, 0.017068641260266304, -0.013153076171875]; [214.04554748535156, -168.76161193847656, 0.18425655364990234, -3.0517576306010596e-05, 0.0005122641450725496, -0.00039672848652116954]
