Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
