Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
False; False; 0; [29.854522705078125, -173.75955200195312, 0.501945972442627, -179.999755859375, -0.12634482979774475, -0.15802001953125]; [260.3704833984375, -258.542236328125, 0.007265567779541016, -90.00066375732422, 0.2327045351266861, -0.0017395112663507462]; [199.2996826171875, -255.72622680664062, 0.0395648367702961, 89.99290466308594, 0.017095962539315224, -0.013092041946947575]; [214.04568481445312, -168.76132202148438, 0.18709029257297516, 9.136761946137995e-06, -9.56226431299001e-05, 5.22402988281101e-05]
