Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 0; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
False; False; 1745489803558517100; [29.854555130004883, -173.75917053222656, 0.5021066665649414, -179.99966430664062, -0.13399463891983032, -0.1614684909582138]; [260.3695983886719, -258.6094665527344, 0.006491393782198429, -90.07471466064453, 0.2365909069776535, 6.54343020869419e-05]; [199.2997283935547, -255.72622680664062, 0.03960308060050011, 89.99564361572266, 0.017116453498601913, -0.013092041015625]; [214.0457305908203, -168.76123046875, 0.1838495284318924, 3.601337084546685e-05, 0.002335924655199051, -0.0017089842585846782]
