Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
False; False; 0; [-513.8351440429688, 160.65953063964844, 0.30581220984458923, 90.00018310546875, -0.1285099983215332, -0.15927119553089142]; [237.94776916503906, -119.03062438964844, 0.007509803399443626, -0.00039672848652116954, 0.23368124663829803, -0.0028381349984556437]
