Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 0; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 1746089687179156600; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 1746089687433655800; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
False; False; 1746089687444156500; [29.85453224182129, -173.75942993164062, 0.5019189119338989, -179.9997100830078, -0.13482792675495148, -0.16055293381214142]; [260.37042236328125, -258.5422058105469, 0.007300166878849268, -90.00152587890625, 0.2386399656534195, -0.00973510555922985]; [199.30288696289062, -255.7263641357422, 0.039312589913606644, 89.9977798461914, 0.015873359516263008, -0.012512207962572575]; [214.0458221435547, -168.7621307373047, 0.18373915553092957, 0.00017075777577701956, 0.0044464529491961, -0.0027770993765443563]
