Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3062514662742615, 90.00033569335938, -0.13326381146907806, -0.1568603366613388]; [237.9475860595703, -119.03042602539062, 0.007251891773194075, -0.00036621096660383046, 0.23155705630779266, -3.0517576306010596e-05]
