Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 0; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597542476000; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597758524800; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597769948200; [29.85452651977539, -173.75936889648438, 0.501771092414856, -179.9997100830078, -0.13501234352588654, -0.1604003608226776]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597780876600; [29.85452651977539, -173.75936889648438, 0.5016929507255554, -179.9997100830078, -0.13504649698734283, -0.16030879318714142]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597791801900; [29.85452651977539, -173.75936889648438, 0.5016929507255554, -179.9997100830078, -0.13504649698734283, -0.16030879318714142]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597802727900; [29.85452651977539, -173.75936889648438, 0.5016107559204102, -179.9997100830078, -0.13504649698734283, -0.16030879318714142]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597813654600; [29.85452651977539, -173.75936889648438, 0.5016107559204102, -179.9997100830078, -0.13504649698734283, -0.16030879318714142]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597824084900; [29.85452651977539, -173.75936889648438, 0.5015352368354797, -179.9997100830078, -0.13504649698734283, -0.16030879318714142]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597834514800; [29.85452651977539, -173.75936889648438, 0.5014720559120178, -179.9997100830078, -0.13507381081581116, -0.1601867526769638]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597845445300; [29.85452651977539, -173.75936889648438, 0.5014720559120178, -179.9997100830078, -0.13507381081581116, -0.1601867526769638]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597856368700; [29.85452651977539, -173.75936889648438, 0.5014205574989319, -179.9997100830078, -0.13507381081581116, -0.1601867526769638]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597866798300; [29.85452651977539, -173.75936889648438, 0.5014205574989319, -179.9997100830078, -0.13507381081581116, -0.1601867526769638]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597877724800; [29.85452651977539, -173.75936889648438, 0.5013702511787415, -179.9997100830078, -0.13507381081581116, -0.1601867526769638]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597888651800; [29.85452651977539, -173.75936889648438, 0.5013378262519836, -179.9997100830078, -0.13510796427726746, -0.1600646674633026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597900075200; [29.85452651977539, -173.75936889648438, 0.5013378262519836, -179.9997100830078, -0.13510796427726746, -0.1600646674633026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597911002500; [29.85452651977539, -173.75936889648438, 0.5013066530227661, -179.9997100830078, -0.13510796427726746, -0.1600646674633026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597911002500; [29.85452651977539, -173.75936889648438, 0.5013066530227661, -179.9997100830078, -0.13510796427726746, -0.1600646674633026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597932855300; [29.85452651977539, -173.75936889648438, 0.5012708902359009, -179.9997100830078, -0.13510796427726746, -0.1600646674633026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597932855300; [29.85452651977539, -173.75936889648438, 0.5012708902359009, -179.9997100830078, -0.13510796427726746, -0.1600646674633026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597943781200; [29.85452651977539, -173.75936889648438, 0.5012462735176086, -179.9997100830078, -0.13510796427726746, -0.1600646674633026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597954211200; [29.85452651977539, -173.75936889648438, 0.5012294054031372, -179.9997100830078, -0.13516943156719208, -0.1599425971508026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597965138000; [29.85452651977539, -173.75936889648438, 0.5012294054031372, -179.9997100830078, -0.13516943156719208, -0.1599425971508026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597976065000; [29.85452651977539, -173.75936889648438, 0.501205563545227, -179.9997100830078, -0.13516943156719208, -0.1599425971508026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597986992000; [29.85452651977539, -173.75936889648438, 0.501205563545227, -179.9997100830078, -0.13516943156719208, -0.1599425971508026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597597997918200; [29.85452651977539, -173.75936889648438, 0.5011977553367615, -179.9997100830078, -0.13516943156719208, -0.1599425971508026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597598008348000; [29.85452651977539, -173.75936889648438, 0.5011977553367615, -179.9997100830078, -0.13516943156719208, -0.1599425971508026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
False; False; 1745597598018778200; [29.85452651977539, -173.75936889648438, 0.5011925101280212, -179.9997100830078, -0.13516943156719208, -0.1599425971508026]; [260.3703308105469, -258.5422058105469, 0.007170963101089001, -90.00424194335938, 0.24059340357780457, -0.01235962938517332]; [199.29974365234375, -255.7263946533203, 0.039738789200782776, 89.99362182617188, 0.016337811946868896, -0.01391601376235485]; [214.045654296875, -168.7615203857422, 0.18403449654579163, 7.588004518765956e-05, 0.0030052829533815384, -0.001983642578125]
