Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 0; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287685921700; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287696849400; [-513.8353881835938, 160.6594696044922, 0.3059998154640198, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287707280000; [-513.8353881835938, 160.6594696044922, 0.30595800280570984, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287717710900; [-513.8353881835938, 160.6594696044922, 0.3059128224849701, 90.00062561035156, -0.13284717500209808, -0.1581115573644638]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287728141700; [-513.8353881835938, 160.6594696044922, 0.3058641850948334, 90.00062561035156, -0.13299743831157684, -0.1582946628332138]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287739069400; [-513.8353881835938, 160.6594696044922, 0.3058641850948334, 90.00062561035156, -0.13299743831157684, -0.1582946628332138]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287749997000; [-513.8353881835938, 160.6594696044922, 0.3058139383792877, 90.00062561035156, -0.13299743831157684, -0.1582946628332138]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287760427900; [-513.8353881835938, 160.6594696044922, 0.3057737946510315, 90.00062561035156, -0.13320234417915344, -0.15850830078125]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287771355300; [-513.8353881835938, 160.6594696044922, 0.3057737946510315, 90.00062561035156, -0.13320234417915344, -0.15850830078125]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287782283000; [-513.8353881835938, 160.6594696044922, 0.3057280480861664, 90.00062561035156, -0.13333211839199066, -0.1585998684167862]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287792714100; [-513.8353881835938, 160.6594696044922, 0.30568927526474, 90.00064086914062, -0.13342773914337158, -0.15869140625]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287803144700; [-513.8353881835938, 160.6594696044922, 0.30565136671066284, 90.00064086914062, -0.13354384899139404, -0.1588134616613388]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287814072400; [-513.8353881835938, 160.6594696044922, 0.30565136671066284, 90.00064086914062, -0.13354384899139404, -0.1588134616613388]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287824999700; [-513.8353881835938, 160.6594696044922, 0.30561554431915283, 90.00064086914062, -0.13366679847240448, -0.158905029296875]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287835927500; [-513.8353881835938, 160.6594696044922, 0.30558323860168457, 90.00064086914062, -0.13378290832042694, -0.1589965969324112]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287846854900; [-513.8353881835938, 160.6594696044922, 0.3055543899536133, 90.00064086914062, -0.1339331716299057, -0.1590576022863388]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287857286000; [-513.8353881835938, 160.6594696044922, 0.3055543899536133, 90.00064086914062, -0.1339331716299057, -0.1590576022863388]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287867716700; [-513.8353881835938, 160.6594696044922, 0.30552175641059875, 90.00064086914062, -0.13406294584274292, -0.1591491848230362]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287878147600; [-513.8353881835938, 160.6594696044922, 0.3054976463317871, 90.00064086914062, -0.13418589532375336, -0.159210205078125]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287889075300; [-513.8353881835938, 160.6594696044922, 0.3054976463317871, 90.00064086914062, -0.13418589532375336, -0.159210205078125]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287900002900; [-513.8353881835938, 160.6594696044922, 0.30547401309013367, 90.00064086914062, -0.13431566953659058, -0.1592712551355362]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287910433600; [-513.8353881835938, 160.6594696044922, 0.30545446276664734, 90.0006103515625, -0.13440445065498352, -0.159332275390625]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287920864600; [-513.8353881835938, 160.6594696044922, 0.30543673038482666, 90.0006103515625, -0.13440445065498352, -0.159332275390625]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287920864600; [-513.8353881835938, 160.6594696044922, 0.30543673038482666, 90.0006103515625, -0.13440445065498352, -0.159332275390625]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287931792100; [-513.8353881835938, 160.6594696044922, 0.3054213225841522, 90.0006103515625, -0.13460935652256012, -0.159423828125]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287953150800; [-513.8353881835938, 160.6594696044922, 0.3054051101207733, 90.0006103515625, -0.13460935652256012, -0.159423828125]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287953150800; [-513.8353881835938, 160.6594696044922, 0.3054051101207733, 90.0006103515625, -0.13460935652256012, -0.159423828125]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287964078400; [-513.8353881835938, 160.6594696044922, 0.3054051101207733, 90.0006103515625, -0.13460935652256012, -0.159423828125]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287975005900; [-513.8353881835938, 160.6594696044922, 0.305392861366272, 90.0006103515625, -0.13476645946502686, -0.1594848483800888]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287985933300; [-513.8353881835938, 160.6594696044922, 0.30538108944892883, 90.0006103515625, -0.13476645946502686, -0.1594848483800888]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485287996364200; [-513.8353881835938, 160.6594696044922, 0.3053668141365051, 90.0006103515625, -0.13491672277450562, -0.159576416015625]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485288007291800; [-513.8353881835938, 160.6594696044922, 0.3053668141365051, 90.0006103515625, -0.13491672277450562, -0.159576416015625]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
False; False; 1745485288018219800; [-513.8353881835938, 160.6594696044922, 0.30535635352134705, 90.0006103515625, -0.13491672277450562, -0.159576416015625]; [237.9476776123047, -119.03076171875, 0.007422046270221472, -0.000701904296875, 0.23723295331001282, -0.007781981956213713]
