Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854570388793945, -173.75921630859375, 0.5020333528518677, -179.999755859375, -0.13418589532375336, -0.1611938327550888]; [260.3704528808594, -258.54217529296875, 0.007501964457333088, -90.00059509277344, 0.23404325544834137, -0.002990727312862873]; [199.29974365234375, -255.72616577148438, 0.03965163975954056, 89.99616241455078, 0.016973018646240234, -0.013214111328125]; [214.04571533203125, -168.76129150390625, 0.1841174215078354, 3.624021337600425e-05, 0.002288113348186016, -0.0015563963679596782]
False; False; 0; [29.854570388793945, -173.75921630859375, 0.5020333528518677, -179.999755859375, -0.13418589532375336, -0.1611938327550888]; [260.3704528808594, -258.54217529296875, 0.007501964457333088, -90.00059509277344, 0.23404325544834137, -0.002990727312862873]; [199.29974365234375, -255.72616577148438, 0.03965163975954056, 89.99616241455078, 0.016973018646240234, -0.013214111328125]; [214.04571533203125, -168.76129150390625, 0.1841174215078354, 3.624021337600425e-05, 0.002288113348186016, -0.0015563963679596782]
False; False; 0; [29.854570388793945, -173.75921630859375, 0.5020333528518677, -179.999755859375, -0.13418589532375336, -0.1611938327550888]; [260.3704528808594, -258.54217529296875, 0.007501964457333088, -90.00059509277344, 0.23404325544834137, -0.002990727312862873]; [199.29974365234375, -255.72616577148438, 0.03965163975954056, 89.99616241455078, 0.016973018646240234, -0.013214111328125]; [214.04571533203125, -168.76129150390625, 0.1841174215078354, 3.624021337600425e-05, 0.002288113348186016, -0.0015563963679596782]
False; False; 0; [29.854570388793945, -173.75921630859375, 0.5020333528518677, -179.999755859375, -0.13418589532375336, -0.1611938327550888]; [260.3704528808594, -258.54217529296875, 0.007501964457333088, -90.00059509277344, 0.23404325544834137, -0.002990727312862873]; [199.29974365234375, -255.72616577148438, 0.03965163975954056, 89.99616241455078, 0.016973018646240234, -0.013214111328125]; [214.04571533203125, -168.76129150390625, 0.1841174215078354, 3.624021337600425e-05, 0.002288113348186016, -0.0015563963679596782]
False; False; 0; [29.854570388793945, -173.75921630859375, 0.5020333528518677, -179.999755859375, -0.13418589532375336, -0.1611938327550888]; [260.3704528808594, -258.54217529296875, 0.007501964457333088, -90.00059509277344, 0.23404325544834137, -0.002990727312862873]; [199.29974365234375, -255.72616577148438, 0.03965163975954056, 89.99616241455078, 0.016973018646240234, -0.013214111328125]; [214.04571533203125, -168.76129150390625, 0.1841174215078354, 3.624021337600425e-05, 0.002288113348186016, -0.0015563963679596782]
False; False; 0; [29.854570388793945, -173.75921630859375, 0.5020333528518677, -179.999755859375, -0.13418589532375336, -0.1611938327550888]; [260.3704528808594, -258.54217529296875, 0.007501964457333088, -90.00059509277344, 0.23404325544834137, -0.002990727312862873]; [199.29974365234375, -255.72616577148438, 0.03965163975954056, 89.99616241455078, 0.016973018646240234, -0.013214111328125]; [214.04571533203125, -168.76129150390625, 0.1841174215078354, 3.624021337600425e-05, 0.002288113348186016, -0.0015563963679596782]
False; False; 0; [29.854570388793945, -173.75921630859375, 0.5020333528518677, -179.999755859375, -0.13418589532375336, -0.1611938327550888]; [260.3704528808594, -258.54217529296875, 0.007501964457333088, -90.00059509277344, 0.23404325544834137, -0.002990727312862873]; [199.29974365234375, -255.72616577148438, 0.03965163975954056, 89.99616241455078, 0.016973018646240234, -0.013214111328125]; [214.04571533203125, -168.76129150390625, 0.1841174215078354, 3.624021337600425e-05, 0.002288113348186016, -0.0015563963679596782]
False; False; 0; [29.854570388793945, -173.75921630859375, 0.5020333528518677, -179.999755859375, -0.13418589532375336, -0.1611938327550888]; [260.3704528808594, -258.54217529296875, 0.007501964457333088, -90.00059509277344, 0.23404325544834137, -0.002990727312862873]; [199.29974365234375, -255.72616577148438, 0.03965163975954056, 89.99616241455078, 0.016973018646240234, -0.013214111328125]; [214.04571533203125, -168.76129150390625, 0.1841174215078354, 3.624021337600425e-05, 0.002288113348186016, -0.0015563963679596782]
False; False; 0; [29.854570388793945, -173.75921630859375, 0.5020333528518677, -179.999755859375, -0.13418589532375336, -0.1611938327550888]; [260.3704528808594, -258.54217529296875, 0.007501964457333088, -90.00059509277344, 0.23404325544834137, -0.002990727312862873]; [199.29974365234375, -255.72616577148438, 0.03965163975954056, 89.99616241455078, 0.016973018646240234, -0.013214111328125]; [214.04571533203125, -168.76129150390625, 0.1841174215078354, 3.624021337600425e-05, 0.002288113348186016, -0.0015563963679596782]
