Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
False; False; 0; [-513.8344116210938, 160.65939331054688, 0.306029349565506, 90.0001449584961, -0.13019022345542908, -0.1621398627758026]; [237.94784545898438, -119.03085327148438, 0.007536411285400391, -0.00042724609375, 0.2362494021654129, -0.006072997581213713]
