Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
False; False; 0; [-513.8343505859375, 160.65943908691406, 0.306134432554245, 90.00018310546875, -0.1310713291168213, -0.1630859225988388]; [237.99449157714844, -119.03104400634766, 0.006518230307847261, -0.026031494140625, 0.23493801057338715, 5.187284841667861e-05]
