Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30623695254325867, 90.00017547607422, -0.13135136663913727, -0.1637878268957138]; [237.94772338867188, -119.03076934814453, 0.007285289466381073, -0.0013122557429596782, 0.23794329166412354, -0.00897216796875]
