Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.85454559326172, -173.7604217529297, 0.5017263889312744, -179.999755859375, -0.13177482783794403, -0.1577453464269638]; [260.3704528808594, -258.54229736328125, 0.007239608559757471, -90.00281524658203, 0.2396235167980194, -0.0108642578125]; [199.41705322265625, -255.72625732421875, 0.039623700082302094, 89.99661254882812, 0.016590528190135956, -0.0137939453125]; [214.04562377929688, -168.7615203857422, 0.18373455107212067, 4.879079642705619e-05, 0.0029096603393554688, -0.001861572265625]
False; False; 0; [29.85454559326172, -173.7604217529297, 0.5017263889312744, -179.999755859375, -0.13177482783794403, -0.1577453464269638]; [260.3704528808594, -258.54229736328125, 0.007239608559757471, -90.00281524658203, 0.2396235167980194, -0.0108642578125]; [199.41705322265625, -255.72625732421875, 0.039623700082302094, 89.99661254882812, 0.016590528190135956, -0.0137939453125]; [214.04562377929688, -168.7615203857422, 0.18373455107212067, 4.879079642705619e-05, 0.0029096603393554688, -0.001861572265625]
False; False; 0; [29.85454559326172, -173.7604217529297, 0.5017263889312744, -179.999755859375, -0.13177482783794403, -0.1577453464269638]; [260.3704528808594, -258.54229736328125, 0.007239608559757471, -90.00281524658203, 0.2396235167980194, -0.0108642578125]; [199.41705322265625, -255.72625732421875, 0.039623700082302094, 89.99661254882812, 0.016590528190135956, -0.0137939453125]; [214.04562377929688, -168.7615203857422, 0.18373455107212067, 4.879079642705619e-05, 0.0029096603393554688, -0.001861572265625]
False; False; 0; [29.85454559326172, -173.7604217529297, 0.5017263889312744, -179.999755859375, -0.13177482783794403, -0.1577453464269638]; [260.3704528808594, -258.54229736328125, 0.007239608559757471, -90.00281524658203, 0.2396235167980194, -0.0108642578125]; [199.41705322265625, -255.72625732421875, 0.039623700082302094, 89.99661254882812, 0.016590528190135956, -0.0137939453125]; [214.04562377929688, -168.7615203857422, 0.18373455107212067, 4.879079642705619e-05, 0.0029096603393554688, -0.001861572265625]
False; False; 0; [29.85454559326172, -173.7604217529297, 0.5017263889312744, -179.999755859375, -0.13177482783794403, -0.1577453464269638]; [260.3704528808594, -258.54229736328125, 0.007239608559757471, -90.00281524658203, 0.2396235167980194, -0.0108642578125]; [199.41705322265625, -255.72625732421875, 0.039623700082302094, 89.99661254882812, 0.016590528190135956, -0.0137939453125]; [214.04562377929688, -168.7615203857422, 0.18373455107212067, 4.879079642705619e-05, 0.0029096603393554688, -0.001861572265625]
False; False; 0; [29.85454559326172, -173.7604217529297, 0.5017263889312744, -179.999755859375, -0.13177482783794403, -0.1577453464269638]; [260.3704528808594, -258.54229736328125, 0.007239608559757471, -90.00281524658203, 0.2396235167980194, -0.0108642578125]; [199.41705322265625, -255.72625732421875, 0.039623700082302094, 89.99661254882812, 0.016590528190135956, -0.0137939453125]; [214.04562377929688, -168.7615203857422, 0.18373455107212067, 4.879079642705619e-05, 0.0029096603393554688, -0.001861572265625]
False; False; 0; [29.85454559326172, -173.7604217529297, 0.5017263889312744, -179.999755859375, -0.13177482783794403, -0.1577453464269638]; [260.3704528808594, -258.54229736328125, 0.007239608559757471, -90.00281524658203, 0.2396235167980194, -0.0108642578125]; [199.41705322265625, -255.72625732421875, 0.039623700082302094, 89.99661254882812, 0.016590528190135956, -0.0137939453125]; [214.04562377929688, -168.7615203857422, 0.18373455107212067, 4.879079642705619e-05, 0.0029096603393554688, -0.001861572265625]
False; False; 0; [29.85454559326172, -173.7604217529297, 0.5017263889312744, -179.999755859375, -0.13177482783794403, -0.1577453464269638]; [260.3704528808594, -258.54229736328125, 0.007239608559757471, -90.00281524658203, 0.2396235167980194, -0.0108642578125]; [199.41705322265625, -255.72625732421875, 0.039623700082302094, 89.99661254882812, 0.016590528190135956, -0.0137939453125]; [214.04562377929688, -168.7615203857422, 0.18373455107212067, 4.879079642705619e-05, 0.0029096603393554688, -0.001861572265625]
False; False; 0; [29.85454559326172, -173.7604217529297, 0.5017263889312744, -179.999755859375, -0.13177482783794403, -0.1577453464269638]; [260.3704528808594, -258.54229736328125, 0.007239608559757471, -90.00281524658203, 0.2396235167980194, -0.0108642578125]; [199.41705322265625, -255.72625732421875, 0.039623700082302094, 89.99661254882812, 0.016590528190135956, -0.0137939453125]; [214.04562377929688, -168.7615203857422, 0.18373455107212067, 4.879079642705619e-05, 0.0029096603393554688, -0.001861572265625]
