Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.85454559326172, -173.75929260253906, 0.5021944642066956, 179.99989318847656, -0.13452057540416718, -0.1611633002758026]; [260.3704528808594, -258.542236328125, 0.007343788165599108, -90.00141143798828, 0.2392546832561493, -0.010467529296875]; [199.417236328125, -255.72625732421875, 0.039568234235048294, 89.9923324584961, 0.015204000286757946, -0.014190674759447575]; [214.04563903808594, -168.76193237304688, 0.18380089104175568, 0.0, 0.0001912452862598002, -0.00015258787607308477]
False; False; 0; [29.85454559326172, -173.75929260253906, 0.5021944642066956, 179.99989318847656, -0.13452057540416718, -0.1611633002758026]; [260.3704528808594, -258.542236328125, 0.007343788165599108, -90.00141143798828, 0.2392546832561493, -0.010467529296875]; [199.417236328125, -255.72625732421875, 0.039568234235048294, 89.9923324584961, 0.015204000286757946, -0.014190674759447575]; [214.04563903808594, -168.76193237304688, 0.18380089104175568, 0.0, 0.0001912452862598002, -0.00015258787607308477]
False; False; 0; [29.85454559326172, -173.75929260253906, 0.5021944642066956, 179.99989318847656, -0.13452057540416718, -0.1611633002758026]; [260.3704528808594, -258.542236328125, 0.007343788165599108, -90.00141143798828, 0.2392546832561493, -0.010467529296875]; [199.417236328125, -255.72625732421875, 0.039568234235048294, 89.9923324584961, 0.015204000286757946, -0.014190674759447575]; [214.04563903808594, -168.76193237304688, 0.18380089104175568, 0.0, 0.0001912452862598002, -0.00015258787607308477]
False; False; 0; [29.85454559326172, -173.75929260253906, 0.5021944642066956, 179.99989318847656, -0.13452057540416718, -0.1611633002758026]; [260.3704528808594, -258.542236328125, 0.007343788165599108, -90.00141143798828, 0.2392546832561493, -0.010467529296875]; [199.417236328125, -255.72625732421875, 0.039568234235048294, 89.9923324584961, 0.015204000286757946, -0.014190674759447575]; [214.04563903808594, -168.76193237304688, 0.18380089104175568, 0.0, 0.0001912452862598002, -0.00015258787607308477]
False; False; 0; [29.85454559326172, -173.75929260253906, 0.5021944642066956, 179.99989318847656, -0.13452057540416718, -0.1611633002758026]; [260.3704528808594, -258.542236328125, 0.007343788165599108, -90.00141143798828, 0.2392546832561493, -0.010467529296875]; [199.417236328125, -255.72625732421875, 0.039568234235048294, 89.9923324584961, 0.015204000286757946, -0.014190674759447575]; [214.04563903808594, -168.76193237304688, 0.18380089104175568, 0.0, 0.0001912452862598002, -0.00015258787607308477]
False; False; 0; [29.85454559326172, -173.75929260253906, 0.5021944642066956, 179.99989318847656, -0.13452057540416718, -0.1611633002758026]; [260.3704528808594, -258.542236328125, 0.007343788165599108, -90.00141143798828, 0.2392546832561493, -0.010467529296875]; [199.417236328125, -255.72625732421875, 0.039568234235048294, 89.9923324584961, 0.015204000286757946, -0.014190674759447575]; [214.04563903808594, -168.76193237304688, 0.18380089104175568, 0.0, 0.0001912452862598002, -0.00015258787607308477]
False; False; 0; [29.85454559326172, -173.75929260253906, 0.5021944642066956, 179.99989318847656, -0.13452057540416718, -0.1611633002758026]; [260.3704528808594, -258.542236328125, 0.007343788165599108, -90.00141143798828, 0.2392546832561493, -0.010467529296875]; [199.417236328125, -255.72625732421875, 0.039568234235048294, 89.9923324584961, 0.015204000286757946, -0.014190674759447575]; [214.04563903808594, -168.76193237304688, 0.18380089104175568, 0.0, 0.0001912452862598002, -0.00015258787607308477]
False; False; 0; [29.85454559326172, -173.75929260253906, 0.5021944642066956, 179.99989318847656, -0.13452057540416718, -0.1611633002758026]; [260.3704528808594, -258.542236328125, 0.007343788165599108, -90.00141143798828, 0.2392546832561493, -0.010467529296875]; [199.417236328125, -255.72625732421875, 0.039568234235048294, 89.9923324584961, 0.015204000286757946, -0.014190674759447575]; [214.04563903808594, -168.76193237304688, 0.18380089104175568, 0.0, 0.0001912452862598002, -0.00015258787607308477]
False; False; 0; [29.85454559326172, -173.75929260253906, 0.5021944642066956, 179.99989318847656, -0.13452057540416718, -0.1611633002758026]; [260.3704528808594, -258.542236328125, 0.007343788165599108, -90.00141143798828, 0.2392546832561493, -0.010467529296875]; [199.417236328125, -255.72625732421875, 0.039568234235048294, 89.9923324584961, 0.015204000286757946, -0.014190674759447575]; [214.04563903808594, -168.76193237304688, 0.18380089104175568, 0.0, 0.0001912452862598002, -0.00015258787607308477]
