Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
False; False; 0; [29.854537963867188, -173.75924682617188, 0.5019784569740295, -179.99993896484375, -0.1348552405834198, -0.1605834662914276]; [260.3704833984375, -258.54217529296875, 0.007216987665742636, -90.00202178955078, 0.23892682790756226, -0.010284419171512127]; [199.4168701171875, -255.72637939453125, 0.039646320044994354, 89.99237823486328, 0.016959358006715775, -0.013336181640625]; [214.04576110839844, -168.76217651367188, 0.18404117226600647, 0.00017855256737675518, 0.005511962343007326, -0.0030517575796693563]
