Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
False; False; 0; [29.85451889038086, -173.7588653564453, 0.5015345215797424, 179.99989318847656, -0.11605856567621231, -0.1612548679113388]; [260.37005615234375, -258.5908508300781, 0.006499423645436764, -90.023681640625, 0.2348150610923767, 4.50902953161858e-05]; [199.4169158935547, -255.72637939453125, 0.03945167362689972, 89.99421691894531, 0.016959358006715775, -0.013336180709302425]; [214.0457763671875, -168.76187133789062, 0.1838526874780655, 0.000137495924718678, 0.004084452986717224, -0.0024719235952943563]
